Year,Goalkeeper,Defenders,Midfielders,Forwards,Dummy_Col_1,Extra_Data_2,Noise_Field_3
1983,"Jamie Swanner, Clemson","Mike Jeffries, DukeDavid Masur, RutgersSimon Spelling, AkronCheche Vidal, Boston","Michael Brady, AmericanAidan McClusky, Farleigh-DickinsonNeil Ridgway, BGSU","Steve McLean, Philadelphia TextileRoy Wegerle, South FloridaTom Kain, Duke",hqEte,380,vFSPQJYh
1984,"Jeff Duback, Yale","Albert Adabe, Eastern IllinoisAdubarie Otorubio, ClemsonShaun Pendleton, Akron","Tony Bono, DrexelDale Ervine, UCLAAidan McCluskey, Farleigh-Dickinson","John Gaffney, VirginiaTom Kain, DukeMichael King, Farleigh-DickinsonSam Okpodu, NC State",mQUMJZf,614,kFptiLit
1985,"Tim Borer, Old Dominion","Paul Caligiuri, UCLAShaun Pendleton, AkronMichael Reynolds, George Mason","John Kerr Jr., DukeMark Mettrick, HartwickBruce Murray, Clemson","Michael Brady, AmericanEric Eichmann, ClemsonTom Kain, DukeSam Sumo, George Mason",hxhLT,751,AbpBGf
1986,"Jeff Duback, Yale","Paul Caligiuri, UCLABenjamin Okaroh, BostonSteve Trittschuh, SIUE","Mark Francis, SMUGary Furlong, MarylandJohn Harkes, Virginia","John Catliff, HarvardGuy Furfaro, PhiladelphiaGeorge Gelnovatch, VirginiaJohn Kerr Jr., Duke",imlPfnL,509,nBYJqIS
1987,"Bob Willen, Virginia","Seamus Purcell, ProvidencePaul Rutenis, ClemsonDavid Smyth, UNC","John Harkes, VirginiaMark Mettrick, HartwickTab Ramos, NC State","Doug Allison, South CarolinaBruce Murray, ClemsonKen Snow, IndianaPeter Vermes, Rutgers",QbfkLz,923,eVcrrK
1988,"Tony Meola, Virginia","Jeff Agoos, VirginiaMarcelo Balboa, San Diego StateKevin Grimes, SMU","Henry Gutierrez, NC StatePat O'Kelly, Seton HallMark Santel, St. Louis University","Scott Benedetti, PortlandBrian Benedict, DukeKen Snow, IndianaJoey Valenti, Duke",EXavSiF,98,kZsMmT
1989,"Tony Meola, Virginia","Kevin Grimes, SMUCam Rast, Santa ClaraKevin Wylie, Vermont","David Banks, PhiladelphiaTim Martin, Fresno StatePat O'Kelly, Seton Hall","Clark Brisson, South CarolinaPeter Isaacs, HowardRobert Paterson, EvansvilleKen Snow, Indiana",QxOjJ,767,ucvDqyeg
1990,"Kasey Keller, Portland","Jeff Agoos, VirginiaScott Cannon, EvansvilleTom Loeber, South Carolina","Dario Brose, NC StateChad Deering, IndianaMark Santel, St. Louis University","Steve Rammel, RutgersKen Snow, IndianaBilly Thompson, UCLADavid Weir, Evansville",BMtqF,879,etHfE
1991,"Brad Friedel, UCLA","Alexi Lalas, RutgersMike Lapper, UCLACam Rast, Santa Clara","Peter DiMaggio, ColumbiaGraham Merryweather, EvansvilleClaudio Reyna, Virginia","Gerell Elliott, Fresno StateHenry Gutierrez, NC StateManny Lagos, MilwaukeeDante Washington, Radford",HDlwqS,396,ZxLgHpZ
1992,"Brad Friedel, UCLA","Joe Addo, George MasonScott Schweitzer, NC StateHector Zamora, Seton Hall","Joe-Max Moore, UCLAClaudio Reyna, VirginiaJoey Thieman, Princeton","Ben Crawley, VirginiaRobert Martella, Bowling GreenAlan Prampin, SMURobert Ukrop, Davidson",zYcSeTnV,449,fhBQdpn
1993,"Tim Deck, Wisconsin","Shane Batelle, St. Louis UniversityPedro Lopes, RutgersJorge Salcedo, UCLA","Brian Kamler, CreightonJason Kreis, DukeClaudio Reyna, Virginia","Keith DeFini, CreightonJimmy Glenn, ClemsonBrian McBride, St. Louis UniversityStaale Soebye, San Francisco",VzfXH,21,vfMViaM
