Year,Goalkeeper,Defenders,Midfielders,Forwards
2004,"Christopher Sawyer, Notre Dame","Ugo Ihemelu, SMUDrew Moor, IndianaGonzalo Segares, VCU","Michael Enfield, UCLAC.J. Klaas, WashingtonSacha Kljestan, Seton HallDanny O'Rourke, Indiana","Justin Moose, Wake ForestRandi Patterson, UNC-G'boroRyan Pore, TulsaJeff Rowland, New Mexico"
2005,"Chris Dunsheath, Bradley","Greg Dalby, Notre DameTyson Wahl, CaliforniaMarvell Wynne, UCLA","Mehdi Ballouchy, Santa ClaraScott Jones, UNC-G'boroYohann Mauger, AkronBrian Plotkin, Indiana","Jason Garey, MarylandRoss McKenzie, AkronJeff Rowland, New MexicoWillie Sims, Cal St-N'ridge"
2006,"Nick Noble, West Virginia","Andrew Boyens, New MexicoJulius James, UConnJay Needham, SMUJohn O'Reilly, Lehigh","Greg Dalby, Notre DameMaurice Edu, MarylandRyan Maduro, Providence","Omar Cummings, CincinnatiCharlie Davies, Boston CollegeEdson Elcock, Old DominionJoseph Lapira, Notre Dame"
2007,"Stefan Frei, California","Eric Brunner, Ohio StateJulius James, UConnPat Phelan, Wake Forest","Reuben Ayarna, Boston CollegeAlejandro Bedoya, Boston CollegeAndrew Jacobson, CaliforniaPeter Lowry, Santa Clara","Xavier Balc, Ohio StateJoseph Lapira, Notre DamePatrick Nyarko, Virginia TechO'Brian White, Connecticut"
2008,"Jovan Bubonja, UIC","Calum Angus, St. Louis UniversityMatt Besler, Notre DameOmar Gonzalez, MarylandTennant McVea, Loyola Maryland","Corben Bone, Wake ForestSam Cronin, Wake ForestAndrei Gotsmanov, CreightonBaggio Husidic, UIC","Andre Akpan, HarvardMike Grella, DukeMarcus Tracy, Wake ForestSteve Zakuani, Akron"
2009,"Jeff Attinella, South Florida","Bobby Warshaw, StanfordZach Loyd, North CarolinaIke Opara, Wake Forest","Kyle Nakazawa, UCLAAnthony Ampaipitakwong, AkronCorben Bone, Wake ForestTony Tchani, Virginia","Teal Bunbury, AkronColin Rolfe, LouisvilleRyan Kinne, MonmouthAndre Akpan, Harvard"
2010,"Zac MacMath, Maryland","Kofi Sarkodie, AkronA.J. Soares, CaliforniaAndrew Wenger, Duke","Michael Farfan, North CarolinaMatt Kassel, MarylandRyan Kinne, MonmouthBen Sippola, Butler","Will Bruin, IndianaTony Cascio, ConnecticutDarlington Nagbe, AkronColin Rolfe, Louisville"
2011,"Brian Holt, Creighton","Chris Estridge, IndianaMatt Hedges, North CarolinaCharles Rodriguez, UNC Charlotte","Miguel Ibarra, UC IrvineEnzo Martinez, North CarolinaLuis Silva, UCSB","Ashton Bennett, Coastal CarolinaEthan Finlay, CreightonBilly Schuler, North CarolinaAndrew Wenger, Duke"
2012,"Andre Blake, Connecticut","Chad Barson, AkronAndrew Farrell, LouisvilleAndrew Ribeiro, Creighton","Scott Caldwell, AkronJose Gomez, CreightonDillon Powers, Notre Dame","Ashton Bennett, Coastal CarolinaRyan Finley, Notre DameDaniel Haber, Cornell UniversityPatrick Mullins, Maryland"
2013,"Andre Blake, Connecticut","Steve Birnbaum, CaliforniaAJ Cochran, WisconsinTaylor Peay, Washington","Laurie Bell, MilwaukeeAodhan Quinn, AkronLeo Stolz, UCLA","Pete Caringi III, UMBCSagi Lev-Ari, Cal St-N'ridgePatrick Mullins, MarylandHarrison Shipp, Notre Dame"
