Year,Goalkeeper,Defenders,Midfielders,Forwards,Dummy_Col_1,Random_Column_2
1994,"David Kramer, Fresno State","Brandon Pollard, VirginiaEddie Pope, UNC","Jason Kreis, DukeBrian Maisonneuve, IndianaMatt McKeon, St. Louis UniversityTodd Yeagley, Indiana","Brent Bennett, James MadisonMac Cozier, CharlotteDarren Eales, BrownStaale Soebye, San Francisco",XsjbEkA,cvFaZhnH
1995,"Chris Snitko, UCLA","Scott Lamphear, WisconsinIan McIntyre, HartwickBrandon Pollard, Virginia","Ben Hickey, St. John'sJesse Marsch, PrincetonClint Mathis, South Carolina","Mike Fisher, VirginiaMatt McKeon, St. Louis UniversityToni Siikala, CampbellAndy Williams, Rhode Island",ynHip,M7p6BLz
1996,"Jon Busch, Charlotte","Tahj Jakins, UCLAPete Santora, FurmanJohn Stratton, Air Force","Mike Fisher, VirginiaSteve Klein, Bowling GreenMike Mekelburg, USF","Tony Kuhn, VanderbiltIgnace Moleka, FIUJohnny Torres, CreightonAndy Williams, Rhode Island",pcUoyzJu,WGa0f
1997,"Matt Jordan, Clemson","Leo Cullen, MarylandKevin Daly, St. John'sPete Santora, Furman","Daniel Hernandez, SMUAlen Kozic, FIUBen Olsen, Virginia","Wade Barrett, William & MarySigurdur Eyjolfsson, UNC-GoldsboroDema Kovalenko, IndianaJohnny Torres, Creighton",zuruJX,XY5CTOWZ
1998,"Adin Brown, William & Mary","Matt Chulis, VirginiaJamie Clark, StanfordKevin Kalish, Saint Louis","Lazo Alavanja, IndianaJay Heaps, DukeWojtek Krakowiak, ClemsonMaurizio Rocha, UConn","Chris Albright, VirginiaSeth George, UCLADema Kovalenko, IndianaRichard Mulrooney, Creighton",PAZlD,xQj2mCi
1999,"Adin Brown, William & Mary","Nick Garcia, IndianaEric Denton, Santa ClaraDavid Wright, Creighton","Carl Bussey, SMUDaniel Alvarez, FurmanJeff DiMaria, St. Louis UniversitySasha Victorine, UCLA","John Barry Nusum, FurmanMohammed Fahim, SMURicardo Villar, Penn StateAleksey Korol, Indiana",IZDvED,HBK5CI
2000,"Chris Hamblin, Boston College","Chris Gbandi, UConnCory Gibbs, BrownRyan Suarez, San Jose State","Carl Bussey, SMUMark Lisi, ClemsonJorge Martínez, San Jose StateRyan Nelsen, Stanford","Chris Carrieri, UNCAli Curtis, DukeJohn Barry Nusum, Furman",oGbNH,YQsaD
2001,"Byron Foss, SMU","Chris Gbandi, UConnDanny Jackson, UNCLee Morrison, Stanford","Luchi Gonzalez, SMUKyle Martino, VirginiaDiego Walsh, SMU","Nicholas McCreath, Rhode IslandPat Noonan, IndianaJohn Barry Nusum, FurmanDipsy Selolwane, St. Louis University",SJspcC,SWLXtdB
2002,"Doug Warren, Clemson","Todd Dunivant, StanfordJohn Swann, IndianaChris Wingert, St. John's","Ricardo Clark, FurmanSumed Ibrahim, MarylandAndres Murriagui, Loyola MarymountDiego Walsh, SMU","Alecko Eskandarian, VirginiaPat Noonan, IndianaTim Pierce, UCLAMike Tranchilla, Creighton",MdLYd,uamy1z
2003,"Will Hesmer, Wake Forest","Leonard Griffin, UCLATrevor McEachron, Old DominionChris Wingert, St. John's","Scott Buete, MarylandSumed Ibrahim, MarylandC.J. Klaas, Washington","Adom Crew, BrownNed Grabavoy, IndianaVedad Ibišević, St. Louis UniversityJoseph Ngwenya, Coastal Carolina",DjsVnT,8KMWK5H
