Name,Party,Province,Term expires,Years in office
Kay Hallahan,Labor,South-East Metropolitan,1989,1983–1993
Bob Hetherington,Labor,South-East Metropolitan,1986,1977–1989
Garry Kelly,Labor,South Metropolitan,1986,1982–1993
Thomas Knight,Liberal,South,1986,1974–1986
Sandy Lewis,Liberal,Lower Central,1986,1974–1989
Phil Lockyer,Liberal,Lower North,1986,1980–1997
Margaret McAleer,Liberal,Upper West,1986,1974–1993
Fred McKenzie,Labor,North-East Metropolitan,1989,1977–1993
Graham MacKinnon,Liberal,South West,1986,1956–1986
Thomas McNeil,National/NP,Upper West,1989,1977–1989
Gordon Masters,Liberal,West,1986,1974–1989
Ian Medcalf,Liberal,Metropolitan,1986,1968–1986
