Name,Party,Province,Term expires,Years in office,Irrelevant_1,Extra_Data_2
Norman Moore,Liberal,Lower North,1989,1977–2013,DWJejN,773
Mark Nevill,Labor,South-East,1989,1983–2001,GWrFXsg,835
Neil Oliver,Liberal,West,1989,1977–1989,YDzHGUG,56
Phillip Pendal,Liberal,South Central Metropolitan,1986,1980–1993,Egkhl,285
Sam Piantadosi,Labor,North Central Metropolitan,1989,1983–1996,XXJmJ,310
Ian Pratt,Liberal,Lower West,1986,1974–1986,lH63vfbD,347
Tom Stephens,Labor,North,1989,1982–2004,ODUmhP2,178
Bill Stretch,Liberal,Lower Central,1989,1983–2005,J5ctuIc,857
Peter Wells,Liberal,North Metropolitan,1986,1980–1986,aEq03,425
Richard Williams,Liberal,Metropolitan,1989,1971–1989,ykb8z9G,315
David Wordsworth,Liberal,South,1989,1971–1993,pdNNf,949
