Fence,Name,Jockey,Age,Handicap (st-lb),Starting price,Fate
?,Mac's Flare,R Langley,10,10-0,100/1,Pulled Up
?,King Pin,Mr Tim Durant,10,10-11,100/1,Pulled Up
?,In Haste,J Leech,8,10-3,100/1,Pulled Up
?,My Gift,A Redmond,10,10-0,100/1,Pulled Up
?,Bold Biri,J Lehane,10,10-0,100/1,Pulled Up
22,Valouis,E Prendergast,7,10-0,50/1,Brought Down
22,Leslie,Mr JM Opperman,10,10-5,100/1,Brought Down
?,Dorimont,Mr W Shand-Kydd,12,10-0,50/1,Unseated Rider
15,Fujino-O,Jeff King,7,12-0,100/1,Refused
?,Monarch's Thought,G Cramp,12,10-0,100/1,Refused
06,Groomsman,Mr S Roberts,11,11-0,100/1,Refused
