Title,Date of creation,Surname,First titular
Duke of Abrantes,"December 9, 1753",Lorena,Ana Maria Catarina Henriqueta de Lorena
Duke of Albuquerque,"May 19, 1886",Costa de Sousa de Macedo,João Afonso da Costa de Sousa de Macedo
Duke of Aveiro,b. 1535,LencastreMascarenhas da Silva e Lencastre,"John of Lencastre, 1st Marquis of Torres Novas"
Duke of Ávila and Bolama,"May 14, 1878",Ávila,António José de Ávila
Duke of Barcelos,"August 5, 1562",Bragança,"John, 6th Duke of Braganza"
Duke of Beja,1453,Portugal-AvizBragança,"Ferdinand, Duke of Viseu"
Duke of Braganza,1442,Bragança,"Afonso, Count of Barcelos"
Duke of Cadaval,"April 26, 1648",Álvares Pereira de Melo,Nuno Álvares Pereira de Melo
Duke of Caminha,"December 14, 1620",Menezes,Miguel Luís de Menezes
Duke of Coimbra,1415,Portugal-AvizLencastreBragança,"Pedro, Prince of Portugal"
Duke of Faial,"April 4, 1833",Sousa Holstein,Pedro de Sousa Holstein
Duke of Ficalho,"May 14, 1836",Almeida,Eugénia Maurícia Tomásia de Almeida Portugal
Duke of Goa,1515,Albuquerque,Afonso de Albuquerque
Duke of Guarda,"October 5, 1530",Portugal-Aviz,"Ferdinand, Prince of Portugal"
Duke of Guimarães,1475,Bragança,"Fernando II, Duke of Braganza"
