Title,Date of creation,Surname,First titular,Irrelevant_1,Noise_Field_2
Duke of Lafões,"February 17, 1718",BragançaBragança e Ligne de Sousa Tavares Mascarenhas da Silva,Pedro Henrique de Bragança,6W10Ytb,siszgVP
Duke of Linhares,?,Noronha,Fernando de Noronha,bGxmb4do,IIhmC
Duke of Loulé,"October 3, 1852",Mendonça Rolim de Moura Barreto,Nuno José Severo de Mendonça Rolim de Moura Barreto,G4Eyrha,UhRTSVLM
Duke of Miranda do Corvo,"May 13, 1796",Bragança e Ligne de Sousa Tavares Mascarenhas da Silva,José Sousa Tavares Mascaranhas da Silva,9Szr5V,paTCxqK
Duke of Palmela,"October 10, 1850",Sousa Holstein,Pedro de Sousa Holstein,1mouVn,MFRrXGV
Duke of Porto,1833,Bragança,"Maria, Princess of Portugal(future Queen Maria II)",fkjoZ9Ym,saVLEZ
Duke of Saldanha,"November 4, 1846",Saldanha Oliveira e Daun,João Francisco de Saldanha Oliveira e Daun,2IBa46Y,tQDkud
Duke of Tancos,"April 22, 1790",Manoel,Constança Manoel,P2U4y,jwmmmamH
Duke of Terceira,"November 8, 1832",Manoel e Meneses Severim de Noronha,António José de Sousa Manoel e Meneses Severim de Noronha,ekw88gC1,fUpxPG
Duke of Torres Novas,"September 26, 1619",Lencastre,George of Lencastre,tt3qJ,ULWrXg
Duke of Trancoso,1530,Portugal-Aviz,"Ferdinand, Prince of Portugal",KhoVPa,kxWWzwxA
Duke of Vila Real,"February 28, 1585",Menezes,Manuel de Menezes,zaZMBU,FoyXQml
Duke of Viseu,1415,Portugal-Aviz,"Henry, the Navigator, Prince of Portugal",qTa8C8iI,RxgVNCV
Duke of Vitória,"December 12, 1812",Wellesley,"Arthur Wellesley, Duke of Wellington",kwK3W,qgWsAQ
