First Name,Surname,Death year,Beginning ofservice,End ofservice,Notes,Irrelevant_1,Irrelevant_2,Random_Column_3
Hönig,Franz,N/A,1926,1931,,jhHNJ,ScRo4L,vUSVSw
Brosos,Ludwig,N/A,1933,1938,,5HGnS,rj91jjk4,ML2VbXI9
Hardt,Alfons,N/A,1927,1930,,3MJUY,xd7pJj7,L7PD2dd
Hauptamnn,Ferdinand,1989,N/A,N/A,"Ordained as a priest atReșița on March, 29th 1936",3uhIP0,rTKUqcNh,FfhABuGd
Hampel,Karl,N/A,1934,1937,,AZElmkJ,SvSr1r,t3rIRNVe
Willw,Andreas,N/A,1941,1946,,mDEEUAI,GWGiSqRV,nVnf2Ao
Schwartz,Josef,N/A,1942,1946,,BVxdNk2a,PhlJ0s1,24VvDX
Gerstenengst,Josef,1992,1946,1958,,jz3yEP,TMGGT,8FMQNBYx
Vöö,Peter,N/A,1940,1941,,1pQSZ8,BcTZA,UTor1
Lackner,Paul,1987,1946,1987,,NvW3ku,CRVRy,DYrLS
