First Name,Surname,Death year,Beginning ofservice,End ofservice,Notes,Extra_Data_1,Dummy_Col_2,Dummy_Col_3
Dobra,Petar,N/A,1977,1979,,355,YNydOPTf,ejuDl
Henger,Michael,N/A,1978,1980,,248,ndrSfy,JRjxdTL
Nagy,Carol,N/A,1979,1987,,633,HDrCKn,UoYMx
Dragomir,Andrei Gheorghe,N/A,1980,1982,,980,zkSML,EtvIlz
Lovasz,Reinhold,N/A,1982,N/A,,443,GursQwnF,yohNdE
Muțiu,Petru,N/A,1983,N/A,,923,ZoQzpq,JPdbahne
Matei,Peter Gottlieb,N/A,1983,1988,,221,pSroflfM,iZbtogU
Pál,József Csaba,N/A,1987,N/A,,679,bJtLOmXf,gGYslna
Szöcs,László,N/A,1987,1988,,53,yYZhIcgu,DWpeeinJ
Medek,Ioan Siegfried,N/A,1988,1989,,571,HLZelJ,aiMCMN
