Position,Club,Played,Points,Wins,Draws,Losses,Goals for,Goals against,Goal Difference
1,UE Lleida,38,57+19,23,11,4,56,20,+36
2,Real Valladolid,38,52+14,20,12,6,50,30,+20
3,Racing de Santander,38,52+14,23,6,9,56,38,+18
4,RCD Mallorca,38,50+12,21,8,9,57,34,+23
5,Real Betis,38,43+5,16,11,11,49,33,+16
6,Real Madrid B,38,42+4,15,12,11,57,41,+16
7,Atlético Marbella,38,42+4,17,8,13,45,41,+4
8,Barcelona B,38,39+1,15,9,14,59,55,+4
9,CP Mérida,38,39+1,13,13,12,43,42,+1
10,CD Castellón,38,36-2,13,10,15,40,45,-5
