Position,Club,Played,Points,Wins,Draws,Losses,Goals for,Goals against,Goal Difference,Filler_1,Extra_Data_2,Noise_Field_3
11,CD Badajoz,38,36-2,14,8,16,37,36,+1,Uouyb,892,EEcwzmaH
12,SD Compostela,38,35-3,10,15,13,35,39,-4,cVPxhj,921,VvqalG
13,Villarreal CF,38,34-4,13,8,17,38,51,-14,zjXacy,886,QkYuRY
14,Palamós CF,38,33-5,12,9,17,33,50,-17,DoBJiqN,889,ikZiFEb
15,Athletic de Bilbao B,38,33-5,9,15,14,33,34,-1,hKLTS,268,rdreV
16,SD Eibar,38,32-6,10,12,16,33,44,-11,PeAqVp,191,addyKgL
17,UE Figueres,38,32-6,11,10,17,41,59,-18,XKagQeHm,872,DFglxyDs
18,CD Lugo,38,25-13,7,11,20,23,41,-18,JRAplJCM,893,LXhfqPbr
19,Sestao,38,24-14,7,10,21,29,54,-25,LTDSbtQF,828,QJfwcLh
20,CE Sabadell FC 1,38,24-14,8,8,22,30,57,-27,acfFE,225,jfDncn
