Genre,Year,Title,Episode,Role,Notes
Film,1998,Finding North,,Travis Furlong,
TV series,1998,Law & Order,"\Castoff\""""",Charles Thatcher,5 episodes total
TV series,1998,Sex and the City,"\Oh Come All Ye Faithful\""""",Tom,
TV series,1999,Homicide: Life on the Street,"\Zen and the Art of Murder\""""",Dennis Kohler,
Film,1999,The General's Daughter,,Captain Goodson,
Film,1999,The Bone Collector,,Dr. Barry Lehman,
TV film,1999,The Lady in Question,,Paul Kessler,
TV series,2000,D.C.,"\Truth\""",,
"\""Justice\""",,,,,
"\""Blame\""",,,,,
"\""Party\""""",RobRobCongressman OwensNeil,,,,
TV film,2000,Hamlet,,Horatio,
TV series,2000,Law & Order: Special Victims Unit,"\Misleader\""",,
"\""Nocturne\""""",Assistant District Attorney,,,,
TV film,2000,"Perfect Murder, Perfect Town: JonBenét and the City of Boulder",,,
