Genre,Year,Title,Episode,Role,Notes,Unused_1,Noise_Field_2,Noise_Field_3
"\""Fight or Flight\""",,,,,,,CcJzY,oBFgQxUG
"\""The Darkest Day\""",,,,,,,eClnplWY,ocbuB
"\""Crossing the Line\""""",Sean Tolkey,36 episodes total,,,,,cfRQfNYZ,HYdwdHYP
TV series,2011,A Gifted Man,"\In Case of Exposure\""""",Ben Tucker,,,EwumDl,BUeGIR
TV series,2011,The Good Wife,"\Great Firewall\""""",Neil Gross,3 episodes total,,BPamd,XqhLZ
TV series,2012,The Big C,"\Thin Ice\""",,,,JGLwbw,SKtHyQJ
"\""What's Your Story?\""",,,,,,,hnPgOZ,RcYJKEo
"\""Bundle of Joy\""",,,,,,,XvnODu,aKTXcXRT
"\""Family Matters\""",,,,,,,BVZtOa,MNHartLn
"\""Face Off\""",,,,,,,jcvfYJ,VthVa
"\""Life Rights\""",,,,,,,GDJetDk,FTEYndF
"\""How Bazaar\""",,,,,,,uPyqSj,wylzMh
"\""Killjoy\""",,,,,,,JUlxg,LiwpXmh
"\""Vaya Con Dios\""",,,,,,,OQyQiOdI,stltSZKq
"\""Fly Away\""""",Sean Tolkey,36 episodes total,,,,,DZEBKI,IZPCo
