Genre,Year,Title,Episode,Role,Notes
TV series,2006,Undercover History,"\Amelia Earhart\""""",Narrator,voice actor; 6 episodes total
Film,2007,Freedom Writers,,Brian Gelford,
TV series,2007,Heartland,"\Pilot\""""",Bill,
TV film,2007,The Hunt for the Boston Strangler,,Narrator,voice actor
TV documentary,2007,Secrets of the Moon Landings,,Narrator,voice actor
Film,2007,The Seeker: The Dark Is Rising,,John Stanton,
TV series,2007,Critical Situation,"\Nightmare on Mt. Hood\""""",Narrator,voice actor; also known as Situation Critical
Film,2007,Then She Found Me,,Alan,
TV series,2007,Undercover History,"\The Hunt for Hitler\""",,
"\""The Hunt for the Boston Strangler\""",,,,,
"\""J. Edgar Hoover\""""",Narrator,voice actor; 6 episodes total,,,
TV series,2008,In Plain Sight,"\Don of the Dead\""""",Donald Ferguson/Donald Fraser,
TV film,2008,Living Proof,,"Blake Rogers, Dr. Slamon's friend and fellow scientist",
TV documentary,2008,The Real George Washington,,Narrator,voice actor
TV series,2008,Undercover History,"\Unabomber: The Secret History\""",,
