Genre,Year,Title,Episode,Role,Notes,Unused_1,Irrelevant_2
"\""New Beginnings\""",,,,,,,xljf1
"\""Everything That Rises Must Converge\""",,,,,,,jwHHWVsz
"\""Taking the Plunge\""""",Sean Tolkey,36 episodes total,,,,,N52fCB
TV series,2010,Law & Order: LA,"\Pasadena\""""",Congressman Thomas Nelson,,,3cRTAT
Short film,2010,Civil Unions: A Love Story,,,4 minutes,,WTbeyKi
TV series,2011,The Big C,"\Losing Patients\""",,,,plAgUz
"\""Musical Chairs\""",,,,,,,iuxCfI
"\""Sexual Healing\""",,,,,,,oENNA
"\""Boo!\""",,,,,,,oODfmb
"\""Cats and Dogs\""",,,,,,,39jb9
"\""The Little c\""",,,,,,,nugOkVD
"\""Goldilocks and the Bears\""",,,,,,,Ng71t
"\""The Last Thanksgiving\""",,,,,,,7vShfgjg
"\""A Little Death\""",,,,,,,hEvXuvz
"\""How Do You Feel?\""",,,,,,,MSU6bg
