Genre,Year,Title,Episode,Role,Notes
TV series,1990,The Days and Nights of Molly Dodd,"\Here's a Quick and Easy Recipe for Leftovers\""""",Trent,
Short film,1991,Dangerous Music,,Tyler,24 minutes
Short film,1992,The Bet,,Henry,21 minutes
TV film,1994,Normandy: The Great Crusade,,Louis Simpson,voice actor
TV series,1994,NYPD Blue,"\Good Time Charlie\""""",Paul Gaines,
Film,1994,Only You,,"Dwayne, Faith's fiancé",
Film,1994,The Ref,,Old Baybrook Policeman,
Film,1995,Comfortably Numb,,Priest,
TV series,1995,New York News,"\You Thought the Pope Was Something\""""",,
Film,1996,Eddie,,Joe Nader,
Short film,1996,Sin #8,,,
TV series,1997,Nothing Sacred,"\Speaking in Tongues\""""",Dr. Elliott,
Film,1997,The Ice Storm,,Mark Boland,
Film,1997,Love! Valour! Compassion!,,Arthur Pape,
TV series,1998,3rd Rock from the Sun,"\The Great Dickdater\""""",Rick,
