Genre,Year,Title,Episode,Role,Notes,Irrelevant_1,Dummy_Col_2,Noise_Field_3
"\""Who's Camping Now\""",,,,,,6h4IvQu4,nGJhT,SfIlRVS
"\""Philip in a China Shop\""""",Philip Stoddard,22 episodes total,,,,eZt3Wy,QmPtAlc,hdtXQQN
TV series,2004,Law & Order,"\C.O.D.\""""",Aaron Solomon,5 episodes total,MZ1VEAok,IyPAtgoO,KrtAUTs
TV series,2005,Alias,"\In Dreams\""""",Father Kampinski,,lvBMaZ,OxIVquvx,afOrYMx
Film,2005,Flightplan,,David,,yySfX,tpgCN,QIrpC
TV series,2005,Law & Order,"\Mammon\""""",Aaron Solomon,5 episodes total,l10d0cA,YtYsY,PosWNCOP
TV film,2005,Silver Bells,,Lawrence,,5i4mIe,vIAtld,EfKVW
TV series,2006,Brothers & Sisters,"\Light the Lights\""""",Major Guinness,,UE5VR1,orTRlJFP,eWytD
Film,2006,The Ex,,Wesley's Dad,,EnhD6Ku,BXhNKUH,eILacmYD
Film,2006,Flags of Our Fathers,,Sergeant Keyes Beech,,fFDDJFA,RNnaI,JCvrqWs
TV film,2006,A House Divided,,President Russell,,LfY3cYV,ZadrdN,FBYGWQ
Film,2006,Infamous,,Jack Dunphy,,cNgvw,vPuebk,nfIUa
TV series,2006,Justice,"\Wrongful Death\""""",Lloyd Barrett,,RfvDQsty,umOksrUI,SyKmgFPN
TV series,2006,Law & Order,"\Profiteer\""""",Aaron Solomon,5 episodes total,EMOgM,EBrYE,jrOijZ
TV series,2006,Stacked,"\The Headmaster\""""",Headmaster Keenan,,RpWrz,PdeAL,csnApv
