Genre,Year,Title,Episode,Role,Notes
"\""Waking Uncle Paddy\""",,,,,
"\""Swangate\""",,,,,
"\""Road Trippin' \""",,,,,
"\""Thanks"," But No Thanks\""",,,,
"\""Artistic Differences\""",,,,,
"\""The Santa That Came to Dinner\""""",Philip Stoddard,22 episodes total,,,
TV series,2004,It's All Relative,"\Doggy-style\""",,
"\""Fight for Your Invite to Party\""",,,,,
"\""What's Up\""",,,,,
"\""Our Sauce"," It Is a Beauty\""",,,,
"\""Ready", Aim," Sing\""",,,
"\""Tackleboxxx/The Love Below\""",,,,,
"\""Cross My Heart\""",,,,,
"\""A Long Day's Journey Into Leonard's\""",,,,,
"\""Oscar Interruptus\""",,,,,
