Genre,Year,Title,Episode,Role,Notes
"\""Undercover Titanic with Bob Ballard\""""",Narrator/Himself,voice actor; 6 episodes total,,,
TV film,2009,Lincoln: American Mastermind,,Narrator,voice actor
Film,2009,The Taking of Pelham 123,,Deputy Mayor LaSalle,
TV series,2009,Timewatch,"\The Real Bonnie and Clyde\""""",Narrator,voice actor
Film,2009,Transformers: Revenge of the Fallen,,Theodore Galloway,
TV series,2010,The Big C,"\Pilot\""",,
"\""Summer Time\""",,,,,
"\""There's No C in Team\""",,,,,
"\""Playing the Cancer Car\""",,,,,
"\""Blue-Eyed Iris\""",,,,,
"\""Taking Lumps\""",,,,,
"\""Two for the Road\""",,,,,
"\""Happy Birthday"," Cancer\""",,,,
"\""The Ecstasy and the Agony\""",,,,,
"\""Divine Intervention\""",,,,,
