Genre,Year,Title,Episode,Role,Notes,Dummy_Col_1
TV series,2012,The Good Wife,"\Live from Damascus\""",,,ZslVDIE
"\""Two Girls"," One Code\""""",Neil Gross,3 episodes total,,,oLOMsh
TV series,2012,The Mob Doctor,"\Family Secrets\""""",Mark Easton,,aQYAvQfm
Film,2012,My Eleventh,,,,ZQChfG
TV series,2012,The New Normal,"\The God-Parent Trap\""",,,PqIWyXEY
"\""Dog Children\""",,,,,,TCvtSW
"\""The Big Day""",Father Michael,3 episodes Total,,,,ULqzxXg
Film,2012,Pitch Perfect,,Dr. Mitchell,,FEYuLDI
TV series,2013,The Big C,"\Quality of Life\""",,,BGFHqfd
"\""You Can't Take it with You\""",,,,,,ynwZKdz
"\""Quality of Death\""",,,,,,dIPIuHh
"\""The Finale\""""",Sean Tolkey,36 episodes total,,,,dRydh
TV series,2013,Hannibal,"\Buffet Froid\""""",Dr. Sutcliffe,,pGqdAODe
TV series,2014,Modern Family,"\Under Pressure\""""",Dr. Clark,,KfzyFBS
