Tie no,Home team,Score,Away team,Date
32,Aldershot,1–0,Hayes,19 November 1988
33,Dagenham,0–4,Sutton United,19 November 1988
34,Waterlooville,1–4,Aylesbury United,19 November 1988
35,Telford United,1–1,Carlisle United,19 November 1988
Replay,Carlisle United,4–1,Telford United,22 November 1988
36,Swansea City,3–1,Northampton Town,19 November 1988
37,Frickley Athletic,0–2,Northwich Victoria,19 November 1988
38,Hartlepool United,2–0,Wigan Athletic,19 November 1988
39,Welling United,3–0,Bromsgrove Rovers,19 November 1988
40,Guisborough Town,0–1,Bury,19 November 1988
