Tie no,Home team,Score,Away team,Date
1,Enfield,1–1,Leyton Orient,19 November 1988
Replay,Leyton Orient,2–2,Enfield,23 November 1988
Replay,Leyton Orient,0–1,Enfield,28 November 1988
2,Blackpool,2–1,Scunthorpe United,19 November 1988
3,Darlington,1–2,Notts County,19 November 1988
4,Bath City,2–0,Grays Athletic,19 November 1988
5,Bristol City,3–1,Southend United,19 November 1988
6,Burnley,0–2,Chester City,19 November 1988
7,Preston North End,1–1,Tranmere Rovers,19 November 1988
Replay,Tranmere Rovers,3–0,Preston North End,22 November 1988
8,Yeovil Town,3–2,Merthyr Tydfil,19 November 1988
