Tie no,Home team,Score,Away team,Date,Dummy_Col_1,Extra_Data_2,Filler_3
Replay,Doncaster Rovers,2–1,Brandon United,22 November 1988,ccAbWGE,72,dgcpI
17,Fulham,0–1,Colchester United,19 November 1988,LnXuDkQ,111,fNxGtpK
18,Brentford,2–0,Halesowen Town,19 November 1988,BHfUarVG,956,pMSxZp
19,Bristol Rovers,3–0,Fisher Athletic,20 November 1988,yraQWZ,538,kWLVISsX
20,Altrincham,3–2,Lincoln City,19 November 1988,tuFEB,774,BZFMfrT
21,Bognor Regis Town,2–1,Exeter City,19 November 1988,wJYOGX,999,DHdGS
22,Huddersfield Town,1–1,Rochdale,19 November 1988,gbKhQFYm,563,PmLeHpl
Replay,Rochdale,3–4,Huddersfield Town,28 November 1988,XNvMsm,414,hSQAore
23,Mansfield Town,1–1,Sheffield United,19 November 1988,tkjOp,325,ltnghl
Replay,Sheffield United,2–1,Mansfield Town,22 November 1988,NbeEC,62,pDSYpQCl
