Tie no,Home team,Score,Away team,Date
24,Cardiff City,3–0,Hereford United,19 November 1988
25,Halifax Town,1–0,York City,19 November 1988
26,Newport County,1–2,Maidstone United,19 November 1988
27,Southport,0–2,Port Vale,19 November 1988
28,Runcorn,2–2,Wrexham,19 November 1988
Replay,Wrexham,2–3,Runcorn,22 November 1988
29,Torquay United,2–2,Fareham Town,19 November 1988
Replay,Fareham Town,2–3,Torquay United,23 November 1988
30,Kettering Town,2–1,Dartford,19 November 1988
31,Rotherham United,3–1,Barrow,19 November 1988
