Event,Bowling center,City,Dates,Winner
Eastern Open,Edison Lanes,"Edison, New Jersey",Dec 2–6,Dennis Chapis (2)
Charlotte Open,Freedom Lanes,"Charlotte, North Carolina",Dec 9–13,Gene Rhoda (3)
Western Open,Saratoga Lanes,"San Jose, California",Jan 4–8,Jim Godman (1)
Denver Open,Broadway Bowl,"Denver, Colorado",Jan 11–15,Dick Weber (16)
Hialeah-Miami Open,Hialeah Lanes,"Hialeah, Florida",Feb 1–5,Les Schissler (3)
Mobile-Sertoma Open,Florida Lanes,"Mobile, Alabama",Feb 8–12,Mike Limongello (2)
Fresno Open,Sunnyside Bowl,"Fresno, California",Feb 15–19,Dick Weber (17)
Las Vegas Open,Showboat Lanes,"Las Vegas, Nevada",Feb 22–26,Skee Foremsky (1)
Miller High Life Open,Bowlero Lanes,"Milwaukee, Wisconsin",Mar 1–5,Bill Lillard (1)
St. Paul Open,All-Star Bowl,"St. Paul, Minnesota",Mar 8–12,Gene Rhoda (4)
Buckeye Open,Imperial Lanes,"Toledo, Ohio",Mar 15–19,Pete Tountas (2)
Greater Buffalo Open,Fairlanes,"Depew, New York",Mar 22–26,Bobby Jacks (1)
Firestone Tournament of Champions,Riviera Lanes,"Akron, Ohio",Mar 29 – Apr 2,Wayne Zahn (4)
Seattle Open,Ballinger Bowl,"Seattle, Washington",Jun 9–12,Wayne Zahn (5)
Portland Open,Valley Lanes,"Portland, Oregon",Jun 16–19,Don Johnson (2)
