Date,Constituency,c/u,Former Incumbent,Winner,Cause,Random_Column_1
19 June 1795,Helston,u*,Sir Gilbert Elliott,Charles Abbot,Resignation (Viceroy of Corsica),1ge0e
24 July 1795,Banffshire,u,Sir James Grant,David McDowall Grant,Resignation (Cashier of Excise in Scotland),U3pGs
14 August 1795,Northumberland,u*,Sir William Middleton,Thomas Richard Beaumont,Death,awoiMc7
21 September 1795,Somerset,u*,Henry Hippisley Coxe,William Gore Langton,Death,Nrnkb
26 September 1795,Rutland,u,John Heathcote,Lord Sherard,Death,NmTyU3c
28 September 1795,Berwick-upon-Tweed,u*,John Vaughan,John Callender,Death,l7MUcw
21 October 1795,New Woodstock,u*,Lord Henry John Spencer,The Lord Lavington,Death,gVCT4Av
6 November 1795,Eye,u,Peter Bathurst,Viscount Brome,Resignation,Har7SRrV
10 November 1795,St Mawes,u,Thomas Calvert,William Drummond,Resignation,EgycyXg3
26 November 1795,Haddingtonshire,u*,John Hamilton,Hew Hamilton Dalrymple,Resignation (Receiver of Land Tax in Scotland),0W9ztR
27 November 1795,Westbury,u,Samuel Estwick,Edward Wilbraham Bootle,Death,oOrT91
6 January 1796,Beaumaris,u,Sir Watkin Williams Wynn,Sir Watkin Williams Wynn,Steward of Bromfield and Yale,baEJEe
12 February 1796,Hindon,u*,Thomas Wildman,James Wildman,Death,ziID0
19 March 1796,Camelford,u,James Macpherson,Lord William Bentinck,Death,H6yS00d
4 April 1796,Perth Burghs,u*,George Murray,David Scott,Resignation,h2zHQe69
16 April 1796,Bossiney,u,Humphrey Minchin,Evelyn Pierrepont,Death,HzgnLx
25 April 1796,Forfarshire,u,David Scott,William Maule,Resignation to contest Perth Burghs,2kd7w
9 May 1796,Northampton,u*,Lord Compton,Spencer Perceval,Succeeded to a peerage,GU7LIJ6
14 May 1796,Lincoln,u*,John Fenton Cawthorne,George Rawdon,Expulsion,zvhlqkY
