Date,Constituency,c/u,Former Incumbent,Winner,Cause
3 February 1794,Steyning,c*,John Curtis,John Henniker Major,Resignation
4 February 1794,Cardiff Boroughs,u*,Lord Mount Stuart,Evelyn James Stuart,Death
11 February 1794,Malmesbury,u,Benjamin Bond Hopkins,Francis Glanville,Death
14 February 1794,Plympton Erle,u,The Earl of Carhampton,William Manning,Resignation
15 February 1794,Milborne Port,u,Richard Johnson,Mark Wood,Resignation
15 February 1794,Queenborough,u,Augustus Rogers,John Sargent,Resignation
15 February 1794,Wilton,u*,Lord Herbert,Philip Goldsworthy,Succeeded to a peerage
17 February 1794,Winchelsea,u,Sir Frederick Fletcher Vane,John Hiley Addington,Resignation
3 March 1794,East Retford,u,Earl of Lincoln,William Henry Clinton,Succeeded to a peerage
5 March 1794,Banbury,u,Frederick North,William Holbech,Resignation (Comptroller of Customs for the Port of London)
12 March 1794,Wallingford,c,Nathaniel William Wraxall,Francis William Sykes,Resignation
13 March 1795,Sandwich,u*,Sir Philip Stephens,Sir Philip Stephens,Lord of the Admiralty
5 April 1794,Cambridge University,u*,Earl of Euston,Earl of Euston,Chief Ranger of St. James Park and Hyde Park
11 April 1794,Perthshire,u*,James Murray,Thomas Graham,Death
1 May 1794,Ross-shire,u,William Adam,Francis Humberston Mackenzie,Resignation
3 May 1794,Bath,u*,Viscount Bayham,Sir Richard Pepper Arden,Succeeded to a peerage
9 May 1794,Hastings,u,Sir Richard Pepper Arden,Robert Dundas,Resignation to contest Bath
9 May 1794,Pontefract,u*,John Smyth,John Smyth,Junior Lord of the Treasury
12 May 1794,Rochester,u*,Nathaniel Smith,Sir Richard King,Death
