Date,Constituency,c/u,Former Incumbent,Winner,Cause
12 May 1794,Tregony,u,John Stephenson,Robert Stewart,Death
21 May 1794,New Radnor Boroughs,u*,David Murray,Viscount Malden,Death
22 May 1794,Derbyshire,u*,Lord George Augustus Cavendish,Lord John Cavendish,Death
3 June 1794,Huntingdonshire,u,Lancelot Brown,Viscount Hinchingbrooke,Resignation
9 June 1794,Cricklade,u*,John Walker Heneage,Lord Porchester,Resignation
12 June 1794,Ayr Burghs,u*,Charles Stuart,John Campbell,Resignation
1 July 1794,Anstruther Easter,u,Robert Anstruther,William Dundas,Resignation
7 July 1794,Orford,u*,Earl of Yarmouth,Lord Robert Seymour,Succeeded to a peerage
12 July 1794,Norwich,c*,William Windham,William Windham,Resignation pending appointment as Secretary at War
14 July 1794,Castle Rising,u*,Henry Drummond,Charles Bagot Chester,Death
15 July 1794,Honiton,u,Sir George Yonge,Sir George Yonge,Master of the Mint
18 July 1794,Malton,u,Edmund Burke,Richard Burke,Resignation
19 July 1794,Bishop's Castle,u*,Henry Strachey,Henry Strachey,Master of the Household
26 August 1794,Southampton,c*,Sir Henry Martin,George Henry Rose,Death
9 September 1794,Wenlock,u*,Sir Henry Bridgeman,John Simpson,Elevated to the peerage
14 September 1794,Bedfordshire,u*,The Earl of Upper Ossory,John Osborn,Became a British Peer
15 September 1794,Clitheroe,u,Assheton Curzon,Richard Erle-Drax-Grosvenor,Elevated to the peerage
16 September 1794,Berkshire,u*,Winchcombe Henry Hartley,Charles Dundas,Death
18 September 1794,Lincolnshire,u*,Charles Anderson Pelham,Robert Vyner,Elevated to the peerage
