Date,Constituency,c/u,Former Incumbent,Winner,Cause
17 June 1791,Queenborough,u,Richard Hopkins,Richard Hopkins,Junior Lord of the Treasury
17 June 1791,Weymouth and Melcombe Regis,u,Thomas Jones,Sir James Johnstone,Resignation
18 June 1791,Haslemere,u*,Richard Penn,James Clarke Satterthwaite,Resignation
20 June 1791,Pontefract,u*,John Smyth,John Smyth,Lord of the Admiralty
26 August 1791,Newtown,u,Sir Richard Worsley,Sir Richard Worsley,Resignation due to attempt to be appointed as Governor of the Isle of Wight and was then re-elected
17 January 1792,Grantham,u,Francis Cockayne Cust,Philip Yorke,Death
18 January 1792,Warwick,c*,Henry Gage,George Villiers,Elevated to the peerage
25 January 1792,Merioneth,u*,Evan Lloyd Vaughan,Robert Williames Vaughan,Death
7 February 1792,Calne,u,John Morris,Benjamin Vaughan,Resignation
10 February 1792,Truro,u,William Augustus Spencer Boscawen,Charles Ingoldsby Paulet,Resignation (Commissioner of the Salt Office)
11 February 1792,Great Bedwyn,u,Lord Doune,Edward Hyde East,Death
20 February 1792,Malmesbury,u,Paul Benfield,Sir James Sanderson,Resignation
21 February 1792,St Mawes,u,John Graves Simcoe,Thomas Calvert,Resignation (Lieutenant Governor of Upper Canada)
27 February 1792,Leicestershire,u*,Sir Thomas Cave,Penn Assheton Curzon,Death
28 February 1792,Clitheroe,u,Penn Assheton Curzon,Assheton Curzon,Resignation to contest Leicestershire
7 March 1792,Rochester,c,Sir Richard Bickerton,Nathaniel Smith,Death
19 March 1792,Tewkesbury,u*,Sir William Codrington,William Dowdeswell,Death
7 May 1792,Malton,u*,William Weddell,George Damer,Death
15 May 1792,Huntingdonshire,u,Viscount Hinchingbrooke,Lancelot Brown,Succeeded to a peerage
18 May 1792,Aberdeen Burghs,u*,Alexander Callender,Alexander Allardyce,Death
