Date,Constituency,c/u,Former Incumbent,Winner,Cause
7 February 1795,Leicester,u*,Thomas Boothby Parkyns,Thomas Boothby Parkyns,Accepted a Commission in the Army
11 February 1795,Arundel,u,Henry Thomas Howard,Sir Thomas Gascoigne,Resignation to contest Gloucester
11 February 1795,Gloucester,u*,John Webb,Henry Thomas Howard,Death
14 February 1795,Fowey,u,Viscount Valletort,Sylvester Douglas,Succeeded to a peerage
20 February 1795,Chester,u*,Thomas Grosvenor,Thomas Grosvenor,Death
21 February 1795,Saltash,u,Viscount Garlies,William Stewart,Resignation
26 February 1795,Tiverton,u*,Sir John Duntze,Richard Ryder,Death
7 March 1795,Wendover,u,Lord Hugh Seymour,Lord Hugh Seymour,Lord of the Admiralty
9 March 1795,Dorset,u,Viscount Parker,Thomas Fownes Luttrell,Succeeded to a peerage
12 March 1795,City of London,c*,John Sawbridge,William Lushington,Death
13 March 1795,Bridport,c*,James Watson,George Barclay,Resignation (Puisne Justice in Bengal)
23 March 1795,Kirkcudbright Stewartry,u*,Alexander Stewart,Patrick Heron,Death
26 March 1795,Preston,u*,Sir Henry Hoghton,Sir Henry Philip Hoghton,Death
27 March 1795,East Looe,u,William Wellesley Pole,Charles Arbuthnot,Resignation
4 April 1795,Montgomeryshire,u*,William Mostyn Owen,Francis Lloyd,Death
28 April 1795,Bridgnorth,u*,Thomas Whitmore,John Whitmore,Death
29 May 1795,Great Yarmouth,c*,Henry Beaufoy,Stephens Howe,Death
30 May 1795,New Shoreham,u*,John Clater Aldridge,Charles William Wyndham,Death
4 June 1795,Amersham,u*,William Drake,Thomas Drake Tyrwhitt,Death
