Date,Constituency,c/u,Former Incumbent,Winner,Cause
20 December 1790,Haslemere,u,James Lowther,Richard Penn,Chose to sit for Westmorland
21 December 1790,Banbury,u,Lord North,Lord North,Succeeded to a peerage
21 December 1790,Oxford,c,Peregrine Bertie,Arthur Annesley,Death
22 December 1790,Heytesbury,u,William Pierce Ashe à Court,Michael Angelo Taylor,Resignation
22 December 1790,Huntingdon,u,John George Montagu,Henry Speed,Death
22 December 1790,Warwick,u,The Lord Arden,The Lord Arden,Registrar of the Court of the Admiralty
24 December 1790,Great Bedwyn,u*,Marquess of Graham,Viscount Stopford,Succeeded to a peerage
27 December 1790,Buckinghamshire,u*,William Wyndham Grenville,James Grenville,Elevated to the peerage
27 December 1790,Tavistock,u*,Charles William Wyndham,Lord John Russell,Chose to sit for Midhurst
28 December 1790,Monmouth,u,Marquess of Worcester,Charles Bragge,Chose to sit for Bristol
28 December 1790,Weobley,u*,Viscount Weymouth,Lord George Thynne,Chose to sit for Bath
29 December 1790,Buckingham,u,James Grenville,Sir Alexander Hood,Resignation to contest Buckinghamshire
29 December 1790,Petersfield,u,Lord North,Marquess of Titchfield,Resignation to contest Banbury
31 December 1790,Higham Ferrers,u,Viscount Duncannon,John Lee,Chose to sit for Knaresborough
4 January 1791,Yarmouth,u*,Thomas Clarke Jervoise,Jervoise Clarke Jervoise,Resignation
4 January 1791,Yarmouth,u,Edward Rushworth,Sir John Fleming Leicester,Resignation
7 January 1791,St Germans,u*,Edward James Eliot,William Eliot,Chose to sit for Liskeard
8 January 1791,Camelford,u,Sir Samuel Hannay,William Smith,Death
21 January 1791,Appleby,u,Robert Banks Jenkinson,William Grimston,Chose to sit for Rye
12 February 1791,Cambridge,u*,Francis Dickins,Robert Manners,Chose to sit for Northamptonshire
