Date,Constituency,c/u,Former Incumbent,Winner,Cause
30 March 1793,Warwickshire,u*,Sir Robert Lawley,Sir John Mordaunt,Death
9 April 1793,Carmarthenshire,u*,George Talbot Rice,James Hamlyn,Succeeded to a peerage
17 April 1793,Great Grimsby,u,Dudley Long North,Dudley Long North,Void Election
17 April 1793,Great Grimsby,u,John Harrison,John Harrison,Void Election
28 May 1793,Heytesbury,u*,The Lord Auckland,The Viscount Clifden,Became a British Peer
26 June 1793,Shaftesbury,u*,William Grant,Paul Benfield,Appointed Second Justice of the South Wales Circuit
26 June 1793,Whitchurch,u*,John Thomas Townshend,John Thomas Townshend,Junior Lord of the Treasury
27 June 1793,Ludgershall,u,Samuel Smith,Nathaniel Newnham,Death
28 June 1793,Edinburgh,u*,Henry Dundas,Henry Dundas,President of the Board of Control
28 June 1793,Marlborough,u,The Earl of Courtown,Earl of Dalkeith,Resignation
28 June 1793,Newtown,u,Sir Richard Worsley,George Canning,Resignation
28 June 1793,Rye,u*,Robert Banks Jenkinson,Robert Banks Jenkinson,Commissioner of the Board of Control
29 June 1793,Great Bedwyn,u,Viscount Stopford,Viscount Stopford,Treasurer of the Household
5 August 1793,Cockermouth,u,John Anstruther,John Anstruther,Chief Justice of the North Wales Circuit
13 September 1793,Higham Ferrers,u*,John Lee,James Adair,Death
24 October 1793,Horsham,u,James Baillie,William Fullarton,Death
3 December 1793,Queenborough,u,Gibbs Crawfurd,Augustus Rogers,Death
29 January 1794,Seaford,c,John Sargent,Richard Paul Jodrell,Clerk of the Ordnance
1 February 1794,Chipping Wycombe,c,Sir John Jervis,Sir Francis Baring,Resignation
1 February 1794,New Windsor,c,Peniston Portlock Powney,William Grant,Death
