Date,Constituency,c/u,Former Incumbent,Winner,Cause
28 June 1792,Liskeard,u*,Edward James Eliot,Edward James Eliot,Commissioner of the Board of Control
16 August 1792,Monmouthshire,u,John Morgan,Robert Salusbury,Death
6 September 1792,Preston,u,John Burgoyne,William Cunliffe Shawe,Death
11 September 1792,Eye,u,Richard Burton Phillipson,Peter Bathurst,Death
14 September 1792,Somerset,u,Edward Phelips,Henry Hippisley Coxe,Death
15 September 1792,Newcastle-under-Lyme,c*,John Leveson Gower,William Egerton,Death
21 September 1792,Banbury,u,Lord North,Frederick North,Succeeded to a peerage
24 October 1792,Winchelsea,u,Viscount Barnard,Sir Frederick Fletcher Vane,Succeeded to a peerage
18 December 1792,Cambridge University,u*,William Pitt the Younger,William Pitt the Younger,Lord Warden of the Cinque Ports
19 December 1792,Guildford,u*,Thomas Onslow,Thomas Onslow,Out-Ranger of Windsor Forest
7 January 1793,Grantham,u*,Philip Yorke,Simon Yorke,Death
8 February 1793,Lyme Regis,u*,Thomas Fane,Thomas Fane,Groom of the Bedchamber
13 February 1793,Newport (I.o.w),u,The Viscount Melbourne,Peniston Lamb,Resignation
20 February 1793,Bere Alston,u*,John Mitford,Sir John Mitford,Solicitor General for England and Wales
20 February 1793,Weobley,u,Sir John Scott,Sir John Scott,Attorney General for England and Wales
22 February 1793,Newcastle-under-Lyme,c,Sir Archibald Macdonald,Sir Francis Ford,Resignation (Lord Chief Baron of the Exchequer)
6 March 1793,City of London,u*,Brook Watson,John William Anderson,Resignation
20 March 1793,Anstruther Easter,u,Sir John Anstruther,Robert Anstruther,Resignation
22 March 1793,Heytesbury,u,The Earl of Barrymore,Charles Rose Ellis,Death
30 March 1793,Knaresborough,u*,Viscount Duncannon,Lord John Townshend,Succeeded to a peerage
