Date,Constituency,c/u,Former Incumbent,Winner,Cause
19 September 1794,Scarborough,u*,The Lord Mulgrave,Edmund Phipps,Became a British Peer
20 September 1794,Cirencester,u*,Lord Apsley,Michael Hicks Beach,Succeeded to a peerage
3 October 1794,Weymouth and Melcombe Regis,u*,Sir James Johnstone,Gabriel Tucker Steward,Death
10 October 1794,Ludlow,u*,The Lord Clive,Robert Clive,Became a British Peer
17 October 1794,City Durham,u*,"John Tempest, Jr.",Sir Henry Vane,Death
20 October 1794,Beaumaris,u*,Sir Hugh Williams,Sir Watkin Williams Wynn,Death
7 November 1794,Surrey,u*,William Clement Finch,Sir John Frederick,Death
10 November 1794,Stirlingshire,u,Sir Thomas Dundas,Robert Graham,Elevated to the peerage
22 November 1794,Anglesey,u*,William Paget,Arthur Paget,Death
5 January 1795,Hindon,u,William Thomas Beckford,Thomas Wildman,Resignation
9 January 1795,Launceston,c,Sir Henry Clinton,William Garthshore,Resignation (Governor of Gibraltar)
10 January 1795,Morpeth,u*,Francis Gregg,Viscount Morpeth,Resignation
10 January 1795,Wiltshire,u*,Sir James Tylney Long,Henry Penruddocke Wyndham,Death
12 January 1795,Petersfield,u,Welbore Ellis,Charles Greville,Elevated to the peerage
14 January 1795,Lichfield,u*,Thomas Gilbert,Lord Granville Leveson Gower,Resignation
15 January 1795,Westbury,u,Ewan Law,"Samuel Estwick, Jr.",Resignation
17 January 1795,Midhurst,u,Charles William Wyndham,Peter Isaac Thellusson,Resignation
21 January 1795,Malton,u*,Richard Burke,William Baldwin,Death
4 February 1795,Caernarvon Boroughs,u,Lord Paget,Lord Paget,Accepted a Commission in the Army
