Date,Constituency,c/u,Former Incumbent,Winner,Cause
28 February 1791,Chichester,c*,Thomas Steele,Thomas Steele,Joint Paymaster of the Forces
1 March 1791,Dunwich,u,Barne Barne,Miles Barne,Resignation
2 March 1791,Tiverton,u*,Dudley Ryder,Dudley Ryder,Joint Paymaster of the Forces
8 March 1791,Heytesbury,u,Michael Angelo Taylor,The Earl of Barrymore,Chose to sit for Poole
12 March 1791,Poole,c,Benjamin Lester,Benjamin Lester,Seeks re-election due to holding Admiralty contract
24 March 1791,Steyning,c(*),Sir John Honywood,James Martin Lloyd,Chose to sit for Canterbury
24 March 1791,Steyning,c,James Martin Lloyd,Samuel Whitbread,By-election result reversed on petition 7 May 1792
28 March 1791,Lostwithiel,u,Viscount Valletort,George Smith,Chose to sit for Fowey
18 April 1791,Buckinghamshire,u*,The Earl Verney,Marquess of Titchfield,Death
27 April 1791,Harwich,u,Thomas Orde,Thomas Orde,Governor of the Isle of Wight
28 April 1791,Ludgershall,c,George Augustus Selwyn,Samuel Smith,Death
29 April 1791,Petersfield,u,Marquess of Titchfield,Welbore Ellis,Resignation to contest Buckinghamshire
2 May 1791,Minehead,u,Viscount Parker,Viscount Parker,Comptroller of the Household
4 May 1791,Stirling Burghs,c*,Sir Archibald Campbell,Andrew James Cochrane,Death
6 May 1791,Dorset,u*,William Morton Pitt,William Morton Pitt,Seeks re-election due to holding contract to supply cordage
12 May 1791,Lymington,u,Harry Burrard,Nathaniel Brassey Halhed,Resignation (Riding Forester of the New Forest)
18 May 1791,Appleby,u,Richard Ford,John Theophilus Rawdon,Resignation
14 June 1791,Milborne Port,u,William Coles Medlycott,Richard Johnson,Resignation
15 June 1791,Edinburgh,u*,Henry Dundas,Henry Dundas,Home Secretary
17 June 1791,Dover,u*,Charles Small Pybus,Charles Small Pybus,Lord of the Admiralty
