Date,Time,Opponent,Site,TV,Result,Attendance,Record,Filler_1,Random_Column_2
11/09/2013*,1:00 pm,Trinity Baptist,"Moore Gymnasium • Daytona Beach, FL",,W 91–74,409,1–0,OymhY,NTsZDty
11/12/2013*,7:00 pm,at South Florida,"USF Sun Dome • Tampa, FL",ESPN3,L 65–91,"3,549",1–1,XaVmIX,NBFvaq
11/17/2013*,2:00 pm,at UCF,"CFE Arena • Orlando, FL",ESPN3,L 63–83,"4,095",1–2,ItWXGRjI,YGPMa
11/19/2013*,7:00 pm,Trinity (FL),"Moore Gymnasium • Daytona Beach, FL",,W 98–55,"1,180",2–2,iejlWj,w2FLY
11/21/2013*,7:00 pm,FIU,"Moore Gymnasium • Daytona Beach, FL",,L 67–82,N/A,2–3,jiHOEMH,H16HiEK
11/25/2013*,9:00 pm,at New Mexico State,"Pan American Center • Las Cruces, NM(Colorado State Challenge)",,L 56–79,"4,985",2–4,oCohU,p04DYgx
11/27/2013*,4:00 pm,at New Mexico State,"Moby Arena • Fort Collins, CO(Colorado State Challenge)",,L 52–66,"2,945",2–5,dtvzUjLu,c0AnZFx
11/29/2013*,9:00 pm,vs. Prairie View A&M,"Butler–Hancock Sports Pavilion • Greeley, CO(Colorado State Challenge)",,L 80–89,102,2–6,dMqqSN,RBiHsIp
11/30/2013*,9:00 pm,at Northern Colorado,"Butler–Hancock Sports Pavilion • Greeley, CO(Colorado State Challenge)",,L 60–65,N/A,2–7,knaZRn,mma95U7
12/03/2013*,7:00 pm,at Stetson,"Edmunds Center • DeLand, FL",,L 52–56,"1,056",2–8,YxEzstOh,8KS7E
12/07/2013,6:00 pm,at Norfolk State,"Joseph G. Echols Memorial Hall • Norfolk, VA",,L 45–59,"1,425",2–9 (0–1),QOSxSma,jVfAWv
