Date,Time,Opponent,Site,TV,Result,Attendance,Record
12/09/2013,7:00 pm,at Hampton,"Hampton Convocation Center • Hampton, VA",,L 52–85,"1,428",2–10 (0–2)
12/14/2013*,4:00 pm,at Akron,"James A. Rhodes Arena • Akron, OH",,L 56–84,"2,763",2–11
12/17/2013*,7:00 pm,at Youngstown State,"Beeghly Center • Youngstown, OH",,L 59–71,"1,399",2–12
12/21/2013*,7:00 pm,at North Florida,"UNF Arena • Jacksonville, FL",,L 64–68,617,2–13
12/30/2013*,8:00 pm,at Detroit,"Calihan Hall • Detroit, MI",,L 53–73,"3,107",2–14
01/03/2014*,8:00 pm,at Northern Illinois,"Convocation Center • DeKalb, IL",,L 51–65,657,2–15
01/11/2014,4:00 pm,North Carolina A&T,"Moore Gymnasium • Daytona Beach, FL",,L 67–70,"1,091",2–16 (0–3)
01/13/2014,7:30 pm,North Carolina Central,"Moore Gymnasium • Daytona Beach, FL",,L 49–64,"1,210",2–17 (0–4)
01/18/2014,6:00 pm,at Savannah State,"Tiger Arena • Savannah, GA",,L 60–70 OT,"3,220",2–18 (0–5)
01/20/2014,7:30 pm,at South Carolina State,"SHM Memorial Center • Orangeburg, SC",,L 67–69,751,2–19 (0–6)
01/25/2014,4:00 pm,Maryland Eastern Shore,"Moore Gymnasium • Daytona Beach, FL",,W 69–63,"1,030",3–19 (1–6)
