Date,Time,Opponent,Site,TV,Result,Attendance,Record,Noise_Field_1
01/27/2014,7:30 pm,Howard,"Moore Gymnasium • Daytona Beach, FL",,W 58–47,"1,216",4–19 (2–6),znPYx
02/01/2014,4:00 pm,Savannah State,"Moore Gymnasium • Daytona Beach, FL",,L 40–50,"1,075",4–20 (2–7),FOjLhn
02/03/2014,7:30 pm,South Carolina State,"Moore Gymnasium • Daytona Beach, FL",,W 91–59,"1,063",5–20 (3–7),TLJjB
02/08/2014,4:00 pm,at North Carolina Central,"McLendon–McDougald Gymnasium • Durham, NC",,L 54–77,"2,420",5–21 (3–8),VgycxB
02/10/2014,8:00 pm,at North Carolina A&T,"Corbett Sports Center • Greensboro, NC",,W 72–71,"1,019",6–21 (4–8),wTOPTu
02/15/2014,4:00 pm,Delaware State,"Moore Gymnasium • Daytona Beach, FL",,L 67–79,843,6–22 (4–9),sQuryqyl
02/22/2014,4:00 pm,Florida A&M,"Moore Gymnasium • Daytona Beach, FL",,L 75–80,"3,231",6–23 (4–10),ZlzuJ
03/01/2014,4:00 pm,at Morgan State,"Talmadge L. Hill Field House • Baltimore, MD",,L 61–65,"2,056",6–24 (4–11),TRZqk
03/06/2014,7:30 pm,at Florida A&M,"Teaching Gym • Tallahassee, FL",,W 70–68,"2,376",7–24 (5–11),AJqZORum
03/11/2014,6:30 pm,vs. Coppin State,"Norfolk Scope • Norfolk, VA(First round)",,L 68–75,"4,658",7–25,bvutWGrA
