Pos,No,Driver,Constructor,Laps,Time/Retired,Grid,Points,Irrelevant_1,Dummy_Col_2,Random_Column_3
1,4,Robert Kubica,BMW Sauber,70,1:36:24.227,2,10,ZsT8bWPk,PfhjHSZ,eXTpIp
2,3,Nick Heidfeld,BMW Sauber,70,+16.495,8,8,h57fUjEC,VZXvXFeH,2Tbz6W
3,9,David Coulthard,Red Bull-Renault,70,+23.352,13,6,54RDie0,NiXXOHFP,ZDy45aOJ
4,12,Timo Glock,Toyota,70,+42.627,11,5,uoBeu8,aqOLD,7dO7qxM
5,2,Felipe Massa,Ferrari,70,+43.934,6,4,GEc3vt,GJueOyxF,J3kNug3
6,11,Jarno Trulli,Toyota,70,+47.775,14,3,ni7yoEB,GPcOhaiF,16bYU
7,17,Rubens Barrichello,Honda,70,+53.597,9,2,WFqYGQbo,rrCITp,tSVgS6
8,15,Sebastian Vettel,Toro Rosso-Ferrari,70,+54.120,19,1,7U7vlVB,VvsKltl,V0pf7uqh
9,23,Heikki Kovalainen,McLaren-Mercedes,70,+54.433,7,,C8x9Sels,JywBT,1sBaV1M
10,7,Nico Rosberg,Williams-Toyota,70,+54.749,5,,j7SEWEQl,WWwMC,lsVCCxo
