Pos,No,Driver,Constructor,Laps,Time/Retired,Grid,Points
11,16,Jenson Button,Honda,70,+1:07.540,20,
12,10,Mark Webber,Red Bull-Renault,70,+1:11.299,10,
13,14,Sébastien Bourdais,Toro Rosso-Ferrari,69,+1 Lap,18,
Ret,21,Giancarlo Fisichella,Force India-Ferrari,51,Spun off,17,
Ret,8,Kazuki Nakajima,Williams-Toyota,46,Accident,12,
Ret,5,Fernando Alonso,Renault,44,Spun off,4,
Ret,6,Nelson Piquet Jr.,Renault,43,Brakes,15,
Ret,1,Kimi Räikkönen,Ferrari,19,Collision,3,
Ret,22,Lewis Hamilton,McLaren-Mercedes,19,Collision,1,
Ret,20,Adrian Sutil,Force India-Ferrari,13,Gearbox,16,
