Player,Career,Nickname,Team Inducted As
Jesse Haines,1918–37,"\Pop\""""",St. Louis Cardinals
Billy Hamilton,1888–1901,"\Sliding Billy\""""",Boston Beaneaters
Ned Hanlon,1880–1907,"\Ned\""""",Baltimore Orioles (NL)
Bucky Harris,1919–56,"\Bucky\""""",Washington Senators
Gabby Hartnett,1922–41,"\Gabby\"" or \""Old Tomato Face\""""",Chicago Cubs
Harry Heilmann,1914–32,"\Slug\""""",Detroit Tigers
Harry Hooper,1909–25,"\Hoop\""""",Boston Red Sox
Rogers Hornsby,1915–37,"\Rajah\""""",St. Louis Cardinals
Waite Hoyt,1918–38,"\Schoolboy\""""",New York Yankees
Carl Hubbell,1928–43,"\King Carl\"" or \""The Meal Ticket\""""",New York Giants
Catfish Hunter,1965–79,"\Catfish\""""",N/A
Monte Irvin,1949–56,"\Mr. Murder\""""",Newark Eagles
Reggie Jackson,1967–87,"\Mr. October\""""",New York Yankees
Travis Jackson,1922–36,"\Stonewall\""""",New York Giants
Ferguson Jenkins,1965–83,"\Fly\"" or \""Fergie\""""",Chicago Cubs
Hughie Jennings,1891–1924,"\Ee-Yah\""""",Baltimore Orioles (NL)
Ban Johnson,1900–1927,"\Ban\""""",N/A
Walter Johnson,1907–27,"\The Big Train\"" or \""Barney\""""",Washington Senators
Al Kaline,1953–74,"\Salty\"""," \""Line\"""
