Player,Career,Nickname,Team Inducted As
Jim Bottomley,1922–37,"\Sunny Jim\""""",St. Louis Cardinals
Roger Bresnahan,1897–1915,"\The Duke of Tralee\""""",New York Giants
Lou Brock,1961–79,"\The Franchise\""""",St. Louis Cardinals
Dan Brouthers,1879–96,"\Big Dan\"" or \""Alderman\""""",Buffalo Bisons
Mordecai Brown,1903–16,"\Three Finger\"" or \""Miner\""""",Chicago Cubs
Jesse Burkett,1890–1905,"\Crab\""""",Cleveland Spiders
Roy Campanella,1948–57,"\Campy\""""",Brooklyn Dodgers
Max Carey,1910–29,"\Scoops\""""",Pittsburgh Pirates
Steve Carlton,1965–88,"\Lefty\""""",Philadelphia Phillies
Gary Carter,1974–92,"\The Kid\""""",Montreal Expos
Orlando Cepeda,1958–74,"\Baby Bull\"" or \""Cha Cha\""""",San Francisco Giants
Frank Chance,1898–1914,"\Husk\"""," \""The Peerless Leader\"" and part of \""Tinker to Evers to Chance\"""""
Happy Chandler,1945–1951,"\Happy\""""",N/A
Jack Chesbro,1899–1909,"\Happy Jack\""""",New York Yankees
Fred Clarke,1897–1915,"\Cap\""""",Pittsburgh Pirates
Roberto Clemente,1955–72,"\Arriba\"" or \""Bob\""""",Pittsburgh Pirates
Ty Cobb,1905–28,"\The Georgia Peach\""""",Detroit Tigers
Mickey Cochrane,1925–37,"\Black Mike\"" or \""Mickey\""""",Detroit Tigers
Eddie Collins,1906–30,"\Cocky\""""",Philadelphia Athletics
