Player,Career,Nickname,Team Inducted As
Earle Combs,1924–35,"\The Kentucky Colonel\""""",New York Yankees
Charlie Comiskey,1882–94,"\Commy\"" or \""The Old Roman\""""",N/A
Jocko Conlan,1941–1965,"\Jocko\""""",N/A
Stan Coveleski,1912–28,"\Covey\""""",Cleveland Indians
Sam Crawford,1899–1917,"\Wahoo Sam\""""",Detroit Tigers
Candy Cummings,1872–77,"\Candy\""""",Hartford Dark Blues
Kiki Cuyler,1921–38,"\Kiki\"" or \""Cuy\""""",Chicago Cubs
Dizzy Dean,1930–41,"\Diz\"""," \""Dizzy\"" or \""The Great Man\"""""
Ed Delahanty,1888–1903,"\Big Ed\""""",Philadelphia Phillies
Joe DiMaggio,1936–51,"\The Yankee Clipper\"" or \""Joltin Joe\""""",New York Yankees
Don Drysdale,1956–69,"\Big D\""""",Los Angeles Dodgers
Hugh Duffy,1888–1906,"\Sir Hugh\""""",Boston Beaneaters
Leo Durocher,1925–73,"\The Lip\"" or \""Lippy\""""",Brooklyn Dodgers
Dennis Eckersley,1975–98,"\The Eck\""""",Oakland Athletics
Johnny Evers,1902–29,"\The Crab\"""," \""Trojan\"" and part of \""Tinker to Evers to Chance\"""""
Buck Ewing,1880–97,"\Buck\""""",New York Gothams
Red Faber,1914–33,"\Red\""""",Chicago White Sox
Bob Feller,1936–56,"\Rapid Robert\"" or \""The Heater From Van Meter\""""",Cleveland Indians
Rollie Fingers,1968–85,"\Rollie\""""",Oakland Athletics
