Player,Career,Nickname,Team Inducted As
Hank Aaron,1954–76,"\Hammer\"""," \""Hammerin’ Hank\"" or \""Bad Henry\"""""
Grover Cleveland Alexander,1911–30,"\Old Pete\""""",Philadelphia Phillies
Roberto Alomar,1988–04,"\Robbie\""""",Toronto Blue Jays
Walter Alston,1954–76,"\Smokey\""""",Los Angeles Dodgers
Sparky Anderson,1970–95,"\Sparky\"" or \""Captain Hook\""""",Cincinnati Reds
Cap Anson,1871–97,"\Cap\"""," \""Pop\"""
Luis Aparicio,1956–73,"\Little Louie\""""",Chicago White Sox
Luke Appling,1930–50,"\Old Aches & Pains\"""," \""Luscious Luke\"""
Richie Ashburn,1948–62,"\Putt-Putt\"" or \""Whitey\""""",Philadelphia Phillies
Earl Averill,1929–41,"\Rock\"" or \""Earl of Snohomish\""""",Cleveland Indians
Frank Baker,1908–22,"\Home Run\""""",Philadelphia Athletics
Dave Bancroft,1915–30,"\Beauty\""""",Philadelphia Phillies
Ernie Banks,1953–71,"\Mr. Cub\""""",Chicago Cubs
Jake Beckley,1888–1907,"\Eagle Eye\""""",Pittsburgh Pirates
James Bell,"1922–1938, 1942, 1947–1950","\Cool Papa\""""",St. Louis Stars
Johnny Bench,1967–83,"\Little General\""""",Cincinnati Reds
Chief Bender,1903–25,"\Chief\""""",Philadelphia Athletics
Yogi Berra,1946–65,"\Yogi\""""",New York Yankees
Wade Boggs,1982–99,"\Chicken Man\""""",Boston Red Sox
