Player,Career,Nickname,Team Inducted As
Tim Keefe,1880–93,"\Smiling Tim\"" or \""Sir Timothy\""""",New York Giants
Willie Keeler,1892–1910,"\Wee Willie\"" or \""Hit 'Em Where They Ain't\""""",New York Highlanders
George Kelly,1915–32,"\Highpockets\""""",New York Giants
King Kelly,1878–93,"\Honest Joe\"" or \""King\""""",Chicago White Stockings
Harmon Killebrew,1954–75,"\Killer\""""",Minnesota Twins
Chuck Klein,1928–44,"\The Hoosier Hammerer\""""",Philadelphia Phillies
Nap Lajoie,1896–1916,"\Larry\"" or \""Poli\"" or \""Nap\""""",Cleveland Indians
Tony Lazzeri,1926–39,"\Poosh 'Em Up Tony\""""",New York Yankees
Buck Leonard,1933–1950,"\Buck\""""",Homestead Grays
Freddie Lindstrom,1924–36,"\Lindy\""""",New York Giants
Pop Lloyd,1906–1932,"\Pop\""""",New York Lincoln Giants
Ernie Lombardi,1931–47,"\Bocci\"" or \""Schnozz\""""",Cincinnati Reds
Ted Lyons,1923–46,"\Sunday Teddy\""""",Chicago White Sox
Connie Mack,1894–1950,"\Connie\"""," \""Mr. Baseball\"""
Mickey Mantle,1951–68,"\The Mick\"""," \""The Commerce Comet\"""
Heinie Manush,1923–39,"\Heinie\""""",Washington Senators
Rabbit Maranville,1912–35,"\Rabbit\""""",Boston Braves
Juan Marichal,1960–75,"\Manito\"""," \""Mar\"""
