Player,Career,Nickname,Team Inducted As,Dummy_Col_1,Filler_2,Dummy_Col_3
Nolan Ryan,1966–93,"\The Ryan Express\""""",Texas Rangers,bskNH,qDbnlVK,gtpykhAT
Ryne Sandberg,1981–97,"\Ryno\""""",Chicago Cubs,wINQSU,kghhVz,dKyrzPfn
Ray Schalk,1912–29,"\Cracker\""""",Chicago White Sox,whwNUVcJ,oDBOuD,jXfGpmk
Mike Schmidt,1972–89,"\Schmidty\""""",Philadelphia Phillies,EpmuWg,AUgLnpx,ddkGPN
Tom Seaver,1967–86,"\Tom Terrific\"" or \""The Franchise\""""",New York Mets,LEDFJB,NepCBud,toUmNP
Al Simmons,1924–44,"\Bucketfoot Al\""""",Philadelphia Athletics,YdrcPyZ,CUDFtN,IemkgW
George Sisler,1915–30,"\Gorgeous George\""""",St. Louis Browns,ldfOP,CfTrkFzi,CJCYRm
Enos Slaughter,1938–59,"\Country\""""",St. Louis Cardinals,PVSQbKgL,OpLcQf,AlxEvsBV
Ozzie Smith,1978–96,"\The Wizard of Oz\"" or \""The Wizard\""""",St. Louis Cardinals,nVgmuju,bDjqKW,NiJFak
Duke Snider,1947–64,"\The Silver Fox\"" of \""Duke\""""",Brooklyn Dodgers,EHRgbYm,lIdGdo,XumhZLYv
Tris Speaker,1907–28,"\Tris\"""," \""The Grey Eagle\"" or \""Spoke\""""",Fvwjb,qzWrmV,zdesdlA
Willie Stargell,1962–82,"\Pops\""""",Pittsburgh Pirates,inwABt,vCNlb,LSAZR
Turkey Stearnes,"1920–1942, 1945","\Turkey\""""",Detroit Stars,jBRFBry,CnxMpLt,RGuCtle
Casey Stengel,"1912–25, 1934–65","\Casey\"" and \""The Old Professor\""""",New York Yankees,BuZsbv,PPycH,oEAVlle
Don Sutton,1966–88,"\Black & Decker\""""",Los Angeles Dodgers,mHOwH,dRfRpID,MDNhWsMh
Bill Terry,1923–36,"\Memphis Bill\""""",New York Giants,ZIHLfODH,qKTQoFAz,QgpPIpld
Sam Thompson,1885–98,"\Big Sam""",Philadelphia Phillies,SmzpFQ,yVBnOTbp,gsVSac
Pie Traynor,1920–37,"\Pie\""""",Pittsburgh Pirates,LdwgCiXM,XHvyb,DMQDn
