Player,Career,Nickname,Team Inducted As
Carlton Fisk,1969–93,"\Pudge\""""",Boston Red Sox
Whitey Ford,1950–67,"\Whitey\"""," \""The Chairman of the Board\"""
Rube Foster,1902–1926,"\Rube\""""",Chicago American Giants
Nellie Fox,1947–65,"\Nellie\"""," \""Little Nel\"""
Jimmie Foxx,1925–45,"\Beast\"" or \""Double X\""""",Boston Red Sox
Frankie Frisch,1919–37,"\The Fordham Flash\""""",St. Louis Cardinals
Pud Galvin,1875–92,"\Pud\"""," \""Gentle Jeems\"""
Lou Gehrig,1923–39,"\The Iron Horse or \""Buster\"" or \""Biscuit Pants\""""",New York Yankees
Charlie Gehringer,1924–42,"\The Mechanical Man\"" and one of Detroit's \""G-Men\""""",Detroit Tigers
Bob Gibson,1959–75,"\Hoot\"" or \""Gibby\""""",St. Louis Cardinals
Lefty Gomez,1930–43,"\Lefty\"" or \""Goofy\""""",New York Yankees
Goose Goslin,1921–38,"\Goose\"" and one of Detroit's \""G-Men\""""",Washington Senators
Rich Gossage,1972-94,"\Goose\""""",New York Yankees
Hank Greenberg,1930–47,"\Hammerin’ Hank\"" and one of Detroit's \""G-Men\""""",Detroit Tigers
Clark Griffith,1901–20,"\The Old Fox\""""",N/A
Burleigh Grimes,1916–34,"\Ol' Stubblebeard\""""",Brooklyn Dodgers
Lefty Grove,1925–41,"\Lefty\""""",Boston Red Sox
Tony Gwynn,1982–2001,"\Captain Video\"" or \""Mr. Padre\""""",San Diego Padres
Chick Hafey,1924–37,"\Chick\""""",St. Louis Cardinals
