Player,Career,Nickname,Team Inducted As
Phil Niekro,1964–87,"\Knucksie\""""",Atlanta Braves
Jim O'Rourke,1872–1904,"\Orator Jim\""""",New York Giants
Mel Ott,1926–47,"\Master Melvin\""""",New York Giants
Satchel Paige,1948–53,"\Satchel\""""",Kansas City Monarchs
Jim Palmer,1965–84,"\Cakes\""""",Baltimore Orioles
Herb Pennock,1912–34,"\The Knight of Kennett Square\""""",New York Yankees
Kirby Puckett,1984–95,"\Puck\""""",Minnesota Twins
Charles Radbourn,1881–91,"\Old Hoss\""""",Providence Grays
Pee Wee Reese,1940–58,"\Pee Wee\"" or \""The Little Colonel\""""",Brooklyn Dodgers
Branch Rickey,"1905–07, 1913–25","\The Mahatma\""""",N/A
"Cal Ripken, Jr",1981–2001,"\Iron Man\""""",Baltimore Orioles
Eppa Rixey,1912–33,"\Jeptha\""""",Cincinnati Reds
Phil Rizzuto,1941–56,"\Scooter\""""",New York Yankees
Brooks Robinson,1955–77,"\Hoover\"" or \""The Vacuum Cleaner\""""",Baltimore Orioles
Bullet Rogan,"1917, 1920–1938","\Bullet\""""",Kansas City Monarchs
Red Ruffing,1924–47,"\Red\""""",New York Yankees
Amos Rusie,1889–1901,"\The Hoosier Thunderbolt\""""",New York Giants
Babe Ruth,1914–35,"\Babe\"""," \""The Bambino\"""
