Player,Career,Nickname,Team Inducted As
Dazzy Vance,1915–35,"\Dazzy\""""",Brooklyn Dodgers
Arky Vaughan,1932–48,"\Arky\""""",Pittsburgh Pirates
Rube Waddell,1897–1910,"\Rube\""""",Philadelphia Athletics
Honus Wagner,1897–1917,"\The Flying Dutchman\"" or \""Honus\""""",Pittsburgh Pirates
Lloyd Waner,1927–45,"\Little Poison\""""",Pittsburgh Pirates
Paul Waner,1926–45,"\Big Poison\""""",Pittsburgh Pirates
Earl Weaver,1968–86,"\Doodles\""""",Baltimore Orioles
Willie Wells,"1923, 1924–1936, 1942, 1944–1948","\Devil\""""",St. Louis Stars
Zack Wheat,1909–27,"\Buck\""""",Brooklyn Dodgers
Billy Williams,1959–76,"\Sweet Swingin' Billy from Whistler\""""",Chicago Cubs
Hack Wilson,1923–34,"\Hack\""""",Chicago Cubs
Cyclone Joe Williams,1910–1932,"\Smokey Joe\"" or \""Cyclone\""""",New York Lincoln Giants
Ted Williams,1939–60,"\The Splendid Splinter\"""," \""Teddy Ballgame\"""
Early Wynn,1939–63,"\Gus\""""",Cleveland Indians
Carl Yastrzemski,1961–83,"\Yaz\""""",Boston Red Sox
Cy Young,1890–1911,"\Cy\"" or \""Cyclone\""""",Cleveland Spiders
Ross Youngs,1917–26,"\Pep\""""",New York Giants
Robin Yount,1974–93,"\The Kid\""""",Milwaukee Brewers
