Year,Local Radio Station,Local Radio Announcers,Foreign Language Radio Station,Foreign Language Radio Announcers,Local Television Station,Local Television Announcers,Cable Television Station,Cable Television Announcers,Random_Column_1,Unused_2,Filler_3
1961,KFI,Vin ScullyJerry Doggett,KWKW,Jaime JarrínRené CárdenasMiguel Alonzo,KTTV,Vin ScullyJerry Doggett,None,None,kDQoS1,,eohXgxfE
1962,KFI,Vin ScullyJerry Doggett,KWKW,Jaime JarrínJose Garcia,KTTV,Vin ScullyJerry Doggett,None,None,Uwzozq,,TvRWglFd
1963,KFI,Vin ScullyJerry Doggett,KWKW,Jaime JarrínJose Garcia,KTTV,Vin ScullyJerry Doggett,None,None,H0nuK,,kqCYWkVo
1964,KFI,Vin ScullyJerry Doggett,KWKW,Jaime JarrínJose Garcia,KTTV,Vin ScullyJerry Doggett,None,None,kW0BYMh,,GnKcR
1965,KFI,Vin ScullyJerry Doggett,KWKW,Jaime JarrínJose Garcia,KTTV,Vin ScullyJerry Doggett,None,None,Ocllh9B,,SUipwS
1966,KFI,Vin ScullyJerry Doggett,KWKW,Jaime JarrínJose Garcia,KTTV,Vin ScullyJerry Doggett,None,None,ZmneIgw,,AaHIg
1967,KFI,Vin ScullyJerry Doggett,KWKW,Jaime JarrínJose Garcia,KTTV,Vin ScullyJerry Doggett,None,None,gJWDX63,,HkqjtVV
1968,KFI,Vin ScullyJerry Doggett,KWKW,Jaime JarrínJose Garcia,KTTV,Vin ScullyJerry Doggett,None,None,ahhxG40,,lpWnZsFC
1969,KFI,Vin ScullyJerry Doggett,KWKW,Jaime JarrínJose Garcia,KTTV,Vin ScullyJerry Doggett,None,None,mn7me,,pTakl
1970,KFI,Vin ScullyJerry DoggettMike Walden,KWKW,Jaime JarrínJose Garcia,KTTV,Vin ScullyJerry Doggett,None,None,bcRH48j7,,BPGfhxzr
1971,KFI,Vin ScullyJerry Doggett,KWKW,Jaime JarrínJose Garcia,KTTV,Vin ScullyJerry Doggett,None,None,ABwZxSn0,,FUvVdO
