Year,Local Radio Station,Local Radio Announcers,Foreign Language Radio Station,Foreign Language Radio Announcers,Local Television Station,Local Television Announcers,Cable Television Station,Cable Television Announcers
1950,WMGM,Red BarberConnie DesmondVin Scully,None,None,WOR-TV,Red BarberConnie DesmondVin Scully,None,None
1951,WMGM,Red BarberConnie DesmondVin Scully,None,None,WOR-TV,Red BarberConnie DesmondVin Scully,None,None
1952,WMGM,Red BarberConnie DesmondVin Scully,None,None,WOR-TV,Red BarberConnie DesmondVin Scully,None,None
1953,WMGM,Red BarberConnie DesmondVin Scully,WHOM,Buck CanelHerb Marine,WOR-TV,Red BarberConnie DesmondVin Scully,None,None
1954,WMGM,Connie DesmondVin ScullyAndré Baruch,WHOM,Buck CanelHerb Marine,WOR-TV,Connie DesmondVin ScullyAndré Baruch,None,None
1955,WMGM,Connie DesmondVin ScullyAndré BaruchAl Helfer,WHOM,Buck CanelHerb Marine,WOR-TV,Connie DesmondVin ScullyAndré BaruchAl Helfer,None,None
1956,WMGM,Connie DesmondVin ScullyAl Helfer,WHOM,Buck CanelHerb Marine,WOR-TV,Connie DesmondVin ScullyAl Helfer,None,None
1957,WMGM,Vin ScullyAl HelferJerry Doggett,WHOM,Buck CanelHerb Marine,WOR-TV,Vin ScullyAl HelferJerry Doggett,None,None
1958,KMPC,Vin ScullyJerry Doggett,KWKW,René CárdenasMilt Nava,KTTV,Vin ScullyJerry Doggett,None,None
1959,KMPC,Vin ScullyJerry Doggett,KWKW,Jaime JarrínRené CárdenasMiguel Alonzo,KTTV,Vin ScullyJerry Doggett,None,None
1960,KFI,Vin ScullyJerry Doggett,KWKW,Jaime JarrínRené CárdenasMiguel Alonzo,KTTV,Vin ScullyJerry Doggett,None,None
