Year,Local Radio Station,Local Radio Announcers,Foreign Language Radio Station,Foreign Language Radio Announcers,Local Television Station,Local Television Announcers,Cable Television Station,Cable Television Announcers
2004,KFWB,Vin ScullyRoss PorterRick Monday,KWKW,Jaime JarrínPepe YñiguezFernando Valenzuela,KCOP,Vin ScullyRoss PorterRick Monday,FSN West 2,Vin ScullyRoss PorterRick Monday
2005,KFWB,Vin ScullyRick MondayCharley SteinerAl Downing,KWKW,Jaime JarrínPepe YñiguezFernando Valenzuela,KCOPKCAL,Vin ScullyRick MondayCharley SteinerSteve Lyons,FSN West 2,Vin ScullyRick MondayCharley SteinerSteve Lyons
2006,KFWB,Vin ScullyRick MondayCharley SteinerJerry Reuss,KWKW,Jaime JarrínPepe YñiguezFernando Valenzuela,KCAL,Vin ScullyCharley SteinerSteve Lyons,FSN West 2,Vin ScullyCharley SteinerSteve Lyons
2007,KFWB,Vin ScullyRick MondayCharley Steiner,KWKW,Jaime JarrínPepe YñiguezFernando Valenzuela,KCAL,Vin ScullyCharley SteinerSteve Lyons,FSN PrimeTicket,Vin ScullyCharley SteinerSteve Lyons
2008,KABC,Vin ScullyRick MondayCharley Steiner,KHJ,Jaime JarrínPepe YñiguezFernando Valenzuela,KCAL,Vin ScullyCharley SteinerSteve Lyons,FSN PrimeTicket,Vin ScullyCharley SteinerSteve Lyons
2009,KABC,Vin ScullyRick MondayCharley Steiner,KHJ,Jaime JarrínPepe YñiguezFernando Valenzuela,KCAL,Vin ScullySteve LyonsEric Collins,FSN PrimeTicket,Vin ScullySteve LyonsEric Collins
2010,KABC,Vin ScullyRick MondayCharley Steiner,KHJ,Jaime JarrínPepe YñiguezFernando Valenzuela,KCAL,Vin ScullySteve LyonsEric Collins,FSN PrimeTicket,Vin ScullySteve LyonsEric CollinsSpanish Broadcasts:Manny Mota
2011,KABC,Vin ScullyRick MondayCharley Steiner,KTNQ,Jaime JarrínPepe YñiguezFernando Valenzuela,KCAL,Vin ScullySteve LyonsEric Collins,FSN PrimeTicket,Vin ScullySteve LyonsEric CollinsSpanish Broadcasts:Manny Mota
2012,KLAC,Vin ScullyRick MondayCharley Steiner,KTNQ,Jaime JarrínPepe YñiguezFernando Valenzuela,KCAL,Vin ScullySteve LyonsEric Collins,FSN PrimeTicket,Vin ScullySteve LyonsEric CollinsSpanish Broadcasts:Manny MotaJorge Jarrin
2013,KLAC,Vin ScullyRick MondayCharley Steiner,KTNQ,Jaime JarrínPepe YñiguezFernando Valenzuela,KCAL,Vin ScullySteve LyonsEric Collins,FSN PrimeTicket,Vin ScullySteve LyonsEric CollinsSpanish Broadcasts:Manny MotaJorge Jarrin
2014,KLAC,Vin ScullyCharley SteinerRick MondayNomar Garciaparra,KTNQ,Jaime JarrínPepe YñiguezFernando Valenzuela,None,None,SportsNet LA,Vin ScullyCharley SteinerOrel HershiserSpanish Broadcasts:Manny MotaJorge Jarrin
