Year,Local Radio Station,Local Radio Announcers,Foreign Language Radio Station,Foreign Language Radio Announcers,Local Television Station,Local Television Announcers,Cable Television Station,Cable Television Announcers
1993,KABC,Vin ScullyRoss PorterDon Drysdale,KWKWKYPA,Jaime JarrínRené CárdenasRichard Choi,KTLA,Vin ScullyRoss PorterDon Drysdale,None,None
1994,KABC,Vin ScullyRoss PorterRick Monday,KWKWKYPA,Jaime JarrínRené CárdenasRichard Choi,KTLA,Vin ScullyRoss PorterRick Monday,None,None
1995,KABC,Vin ScullyRoss PorterRick Monday,KWKWKYPA,Jaime JarrínRené CárdenasRichard Choi,KTLA,Vin ScullyRoss PorterRick Monday,None,None
1996,KABC,Vin ScullyRoss PorterRick Monday,KWKWKYPA,Jaime JarrínRené CárdenasRichard Choi,KTLA,Vin ScullyRoss PorterRick Monday,None,None
1997,KABC,Vin ScullyRoss PorterRick Monday,KWKWKYPA,Jaime JarrínRené CárdenasRichard Choi,KTLA,Vin ScullyRoss PorterRick Monday,Fox Sports West 2,Vin ScullyRoss Porter
1998,KXTA,Vin ScullyRoss PorterRick Monday,KWKWKYPA,Jaime JarrínRené CárdenasPepe YñiguezRichard Choi,KTLA,Vin ScullyRoss PorterRick Monday,Fox Sports West 2,Vin ScullyRoss Porter
1999,KXTA,Vin ScullyRoss PorterRick Monday,KWKWKYPA,Jaime JarrínPepe YñiguezRichard Choi,KTLA,Vin ScullyRoss PorterRick Monday,FS Net West 2,Vin ScullyRoss PorterRick Monday
2000,KXTA,Vin ScullyRoss PorterRick Monday,KWKW,Jaime JarrínPepe Yñiguez,KTLA,Vin ScullyRoss PorterRick Monday,FSN West 2,Vin ScullyRoss PorterRick Monday
2001,KXTA,Vin ScullyRoss PorterRick Monday,KWKW,Jaime JarrínPepe Yñiguez,KTLA,Vin ScullyRoss PorterRick Monday,FSN West 2,Vin ScullyRoss PorterRick Monday
2002,KXTA,Vin ScullyRoss PorterRick Monday,KWKW,Jaime JarrínPepe Yñiguez,KCOP,Vin ScullyRoss PorterRick Monday,FSN West 2,Vin ScullyRoss PorterRick Monday
2003,KFWB,Vin ScullyRoss PorterRick Monday,KWKW,Jaime JarrínPepe Yñiguez,KCOP,Vin ScullyRoss PorterRick Monday,FSN West 2,Vin ScullyRoss PorterRick Monday
