Year,Local Radio Station,Local Radio Announcers,Foreign Language Radio Station,Foreign Language Radio Announcers,Local Television Station,Local Television Announcers,Cable Television Station,Cable Television Announcers,Random_Column_1,Dummy_Col_2
1982,KABC,Vin ScullyJerry DoggettRoss Porter,KTNQ,Jaime JarrínRené Cárdenas,KTTV,Vin ScullyJerry DoggettRoss Porter,ONTV,Geoff WitcherAl Downing,DHZDhXP,xEMIO
1983,KABC,Vin ScullyJerry DoggettRoss Porter,KTNQ,Jaime JarrínRené Cárdenas,KTTV,Vin ScullyJerry DoggettRoss Porter,ONTV,Geoff WitcherAl Downing,u4WYc,hMZiWUjm
1984,KABC,Vin ScullyJerry DoggettRoss Porter,KTNQ,Jaime JarrínRené Cárdenas,KTTV,Vin ScullyJerry DoggettRoss Porter,ONTV,Eddie DoucetteAl Downing,BGVzB1O,JmhCxtqD
1985,KABC,Vin ScullyJerry DoggettRoss Porter,KTNQ,Jaime JarrínRené Cárdenas,KTTV,Vin ScullyJerry DoggettRoss Porter,Dodgervision,Eddie DoucetteAl DowningRick Monday,31oLqmU,scjhv
1986,KABC,Vin ScullyJerry DoggettRoss Porter,KTNQ,Jaime JarrínRené Cárdenas,KTTV,Vin ScullyJerry DoggettRoss Porter,Dodgervision,Eddie DoucetteAl DowningRick Monday,ek0hE44,mwXhsQIT
1987,KABC,Vin ScullyJerry DoggettRoss Porter,KWKW,Jaime JarrínRené Cárdenas,KTTV,Vin ScullyJerry DoggettRoss Porter,Dodgervision,Eddie DoucetteAl DowningRick Monday,ezf9yqM,qGgprd
1988,KABC,Vin ScullyRoss PorterDon Drysdale,KWKW,Jaime JarrínRené Cárdenas,KTTV,Vin ScullyRoss PorterDon Drysdale,Z Channel,Rick MondayTony Hernandez,3K0jNQu,aIWRYVl
1989,KABC,Vin ScullyRoss PorterDon Drysdale,KWKW,Jaime JarrínRené Cárdenas,KTTV,Vin ScullyRoss PorterDon Drysdale,Z Channel,Eddie DoucetteDon Sutton,hmjL4e,oLILH
1990,KABC,Vin ScullyRoss PorterDon Drysdale,KWKWKAZN,Jaime JarrínRené CárdenasTito RondonRichard Choi,KTTV,Vin ScullyRoss PorterDon Drysdale,SportsChannel,Joel MeyersRon Cey,ZYaLW,kHxJNskN
1991,KABC,Vin ScullyRoss PorterDon Drysdale,KWKWKAZN,Jaime JarrínRené CárdenasRichard Choi,KTTV,Vin ScullyRoss PorterDon Drysdale,SportsChannel,Al DowningJoel MeyersDuke Snider,i4E3U,VWjHHJt
1992,KABC,Vin ScullyRoss PorterDon Drysdale,KWKWKYPA,Jaime JarrínRené CárdenasRichard Choi,KTTV,Vin ScullyRoss PorterDon Drysdale,SportsChannel,Don DrysdaleRoss Porter,foMw9,iCGpGCYe
