Year,Local Radio Station,Local Radio Announcers,Foreign Language Radio Station,Foreign Language Radio Announcers,Local Television Station,Local Television Announcers,Cable Television Station,Cable Television Announcers,Unused_1,Noise_Field_2
1939,WHN,Red BarberAl Helfer,None,None,None,None,None,None,,ZikivTBY
1940,WHN,Red BarberAl Helfer,None,None,None,None,None,None,,zcFwb
1941,WHN,Red BarberAl Helfer,None,None,None,None,None,None,,GKxwDzQ
1942,WHN,Red BarberAlan Hale,None,None,None,None,None,None,,ftaDm
1943,WHN,Red BarberConnie Desmond,None,None,None,None,None,None,,VikxroyH
1944,WHN,Red BarberConnie Desmond,None,None,None,None,None,None,,TALML
1945,WHN,Red BarberConnie Desmond,None,None,None,None,None,None,,dNKmVAX
1946,WHN,Red BarberConnie Desmond,None,None,None,None,None,None,,Nolid
1947,WHN,Red BarberConnie Desmond,None,None,None,None,None,None,,PIFwP
1948,WMGM,Red BarberConnie DesmondErnie Harwell,None,None,None,None,None,None,,NNyUG
1949,WMGM,Red BarberConnie DesmondErnie Harwell,None,None,None,None,None,None,,fzPRhj
