Year,Local Radio Station,Local Radio Announcers,Foreign Language Radio Station,Foreign Language Radio Announcers,Local Television Station,Local Television Announcers,Cable Television Station,Cable Television Announcers,Extra_Data_1
1972,KFI,Vin ScullyJerry Doggett,KWKW,Jaime JarrínJose Garcia,KTTV,Vin ScullyJerry Doggett,None,None,916
1973,KFI,Vin ScullyJerry Doggett,KWKW,Jaime JarrínRudy Hoyos,KTTV,Vin ScullyJerry Doggett,None,None,373
1974,KABC,Vin ScullyJerry Doggett,KWKW,Jaime JarrínRudy Hoyos,KTTV,Vin ScullyJerry Doggett,None,None,210
1974,KABC,Vin ScullyJerry Doggett,KWKW,Jaime JarrínRudy Hoyos,KTTV,Vin ScullyJerry Doggett,None,None,325
1975,KABC,Vin ScullyJerry Doggett,KWKW,Jaime JarrínRudy Hoyos,KTTV,Vin ScullyJerry Doggett,None,None,361
1976,KABC,Vin ScullyJerry Doggett,KWKW,Jaime JarrínRudy Hoyos,KTTV,Vin ScullyJerry Doggett,None,None,916
1977,KABC,Vin ScullyJerry DoggettRoss Porter,XEGM,Jaime JarrínRudy Hoyos,KTTV,Vin ScullyJerry DoggettRoss Porter,None,None,131
1978,KABC,Vin ScullyJerry DoggettRoss Porter,XEGM,Jaime JarrínRudy Hoyos,KTTV,Vin ScullyJerry DoggettRoss Porter,None,None,4
1979,KABC,Vin ScullyJerry DoggettRoss Porter,KTNQ,Jaime JarrínRudy Hoyos,KTTV,Vin ScullyJerry DoggettRoss Porter,None,None,397
1980,KABC,Vin ScullyJerry DoggettRoss Porter,KTNQ,Jaime JarrínRudy Hoyos,KTTV,Vin ScullyJerry DoggettRoss Porter,ONTV,Geoff WitcherAl Downing,157
1981,KABC,Vin ScullyJerry DoggettRoss Porter,KTNQ,Jaime JarrínRudy Hoyos,KTTV,Vin ScullyJerry DoggettRoss Porter,ONTV,Geoff WitcherAl Downing,608
