Year,Location,Gold,Silver,Bronze,Irrelevant_1,Irrelevant_2,Extra_Data_3
2002,Debrecen,Elena Gómez,Verona van de Leur,Samantha Sheehan,5oZWRkf,XCffq,791
2003,Anaheim,Daiane Dos Santos,Cătălina Ponor,Elena Gómez,Qgbhq,0gxNCJ,602
2005,Melbourne,Alicia Sacramone,Anastasia Liukin,Suzanne Harmes,hn5zkOxc,rp67CPP,922
2006,Aarhus,Cheng Fei,Jana Bieger,Vanessa Ferrari,pJsB176S,EFDV4o,11
2007,Stuttgart,Shawn Johnson,Alicia Sacramone,Cassy Vericel,aYZZV43w,RtEh8hh,41
2009,London,Elizabeth Tweddle,Lauren Mitchell,Sui Lu,36btp5it,mys1GV,71
2010,Rotterdam,Lauren Mitchell,Aliya Mustafina Diana Chelaru,-,1P5VuEWD,N2xuQ,368
2011,Tokyo,Ksenia Afanasyeva,Sui Lu,Aly Raisman,IRP62lCw,o0mA94Qk,650
2013,Antwerp,Simone Biles,Vanessa Ferrari,Larisa Iordache,TUMZG,y6vXKrkI,79
2014,Nanning,,,,AXc9eQI3,OSW5qr,8
2015,Glasgow,,,,2AOva,OwCIlbd,751
