Year,Location,Gold,Silver,Bronze
1950,Basel,Helena Rakoczy,Tereza Kočiš,Stefania Reindlova
1954,Rome,Tamara Manina,Eva Bosáková,Maria Gorokovskaya
1958,Moscow,Eva Bosáková,Larisa Latynina,Keiko Tanaka
1962,Prague,Larisa Latynina,Irina Pervuschina,Věra Čáslavská
1966,Dortmund,Natalia Kutchinskaya,Věra Čáslavská,Zinaida Drougina
1970,Ljubljana,Ludmila Turicheva,Olga Karaseva,Zinaida Voronina
1974,Varna,Ludmila Turicheva,Olga Korbut,Elvira Saadi Rusudan Siharulidze
1978,Strasbourg,Nellie Kim Elena Mukhina,-,Emilia Eberle Kathy Johnson
1979,Fort Worth,Emilia Eberle,Nellie Kim,Melita Ruhn
1981,Moscow,Natalia Ilienko,Yelena Davydova,Zoja Grantcharova
1983,Budapest,Ekaterina Szabo,Olga Mostepanova,Boriana Stoyanova
1985,Montreal,Oksana Omelianchik,Elena Shushunova,Ulrike Klotz
