Pos,No,Driver,Constructor,Laps,Time/Retired,Grid,Points,Random_Column_1,Irrelevant_2
1,3,Michael Schumacher,Ferrari,71,1:34:45.026,2,10,cZy7L1,66mWY6
2,4,Eddie Irvine,Ferrari,71,+19.575,4,6,CyclEneV,FwlinpbH
3,8,Mika Häkkinen,McLaren-Mercedes,71,+19.747,1,4,NK81IVF,IIcxkl
4,1,Jacques Villeneuve,Williams-Mecachrome,71,+1:06.965,5,3,rkarFGG,ML4JCyF
5,6,Alexander Wurz,Benetton-Playlife,70,+1 Lap,10,2,VpHEG,t4AIe
6,7,David Coulthard,McLaren-Mercedes,70,+1 Lap,3,1,UqZr8,iTBO23w
7,14,Jean Alesi,Sauber-Petronas,70,+1 Lap,11,,aLm4Bcz,YMINPIx
8,15,Johnny Herbert,Sauber-Petronas,70,+1 Lap,13,,LGw5W,D48wCQE
9,5,Giancarlo Fisichella,Benetton-Playlife,70,+1 Lap,9,,d0ZeHCYH,tGyff
10,18,Rubens Barrichello,Stewart-Ford,69,+2 Laps,14,,ed5uJX,2ZiE0
11,11,Olivier Panis,Prost-Peugeot,69,+2 Laps,16,,JU6kn6,J61WL6
