Pos,No,Driver,Constructor,Laps,Time/Retired,Grid,Points
12,19,Jos Verstappen,Stewart-Ford,69,+2 Laps,15,
13,17,Mika Salo,Arrows,69,+2 Laps,19,
14,16,Pedro Diniz,Arrows,69,+2 Laps,17,
15,2,Heinz-Harald Frentzen,Williams-Mecachrome,68,Suspension,8,
16,10,Ralf Schumacher,Jordan-Mugen-Honda,68,+3 Laps,6,
17,22,Shinji Nakano,Minardi-Ford,65,Engine,21,
Ret,21,Toranosuke Takagi,Tyrrell-Ford,60,Engine,20,
Ret,12,Jarno Trulli,Prost-Peugeot,55,Spun off,12,
Ret,23,Esteban Tuero,Minardi-Ford,41,Gearbox,22,
Ret,9,Damon Hill,Jordan-Mugen-Honda,19,Hydraulics,7,
Ret,20,Ricardo Rosset,Tyrrell-Ford,16,Hydraulics,18,
