Rebounds,Off,Def,Player,Team,Date,Opponent,Score,Minutes played,Points,Assists,Steals,Blocks,20-20,Led the league in rebounding,Notes
37,19,18,Moses Malone*,Houston Rockets,"February 9, 1979",New Orleans Jazz,106–99,44,33,2,,,Yes,Yes,14 rebounds in the first quarter.
35,16,19,Charles Oakley,Chicago Bulls,"April 22, 1988",Cleveland Cavaliers,103–107,41,26,3,1,0,Yes,No,"Second to last game of season, in a season rebounding title battle, which he lost by a .03 margin to Michael Cage."
34,5,29,Kareem Abdul-Jabbar*,Los Angeles Lakers,"December 14, 1975",Detroit Pistons,110–100,42,27,6,,,Yes,Yes,NBA single-game record for defensive rebounds.
34,18,16,Dennis Rodman*,Detroit Pistons,"March 4, 1992",Indiana Pacers,110–107,45,10,3,2,0,No,Yes,"Overtime. 21 rebounds in the second half, including 11 offensive rebounds."
34,8,26,Rony Seikaly,Miami Heat,"March 3, 1993",Washington Bullets,125–106,40,12,4,0,1,No,No,"Seikaly outrebounded the opposing team, 34–30."
33,15,18,Swen Nater,Milwaukee Bucks,"December 19, 1976",Atlanta Hawks,126–109,41,30,2,1,1,Yes,No,
33,16,17,Kevin Willis,Atlanta Hawks,"February 19, 1992",Washington Bullets,102–103,45,20,1,2,4,Yes,No,Overtime. 11 offensive rebounds in a half.
33,8,25,Charles Barkley*,Houston Rockets,"November 2, 1996",Phoenix Suns,110–95,45,20,2,0,2,Yes,No,"Barkley outrebounded the opposing team 33–30, and played against his previous team for the first time."
32,4,28,Elvin Hayes*,Capital Bullets,"November 17, 1973",Atlanta Hawks,115–109,48,43,0,,,Yes,Yes,On Hayes's 28th birthday.
32,7,25,Robert Parish*,Golden State Warriors,"March 30, 1979",New York Knicks,114–98,36,30,5,1,2,Yes,No,"11 rebounds in the first quarter. 15 rebounds in the first half, 17 rebounds in the second half."
32,7,25,Swen Nater (2),San Diego Clippers,"December 14, 1979",Denver Nuggets,112–108,44,12,3,,,No,Yes,"21 rebounds in the second half. 18 defensive rebounds in the second half, setting the NBA record. 11 defensive rebounds in the fourth quarter."
32,21,11,Moses Malone* (2),Houston Rockets,"February 11, 1982",Seattle SuperSonics,117–100,44,38,2,,,Yes,Yes,"NBA single-game record for offensive rebounds; 11 offensive rebounds in one half, 10 in the other half. 15 total rebounds in the first half, 17 rebounds in the second half. Malone outrebounded the opposing team, 32–29."
32,12,20,Dennis Rodman* (2),Detroit Pistons,"January 28, 1992",Charlotte Hornets,100–95,50,16,3,0,1,No,Yes,Overtime.
32,9,23,Dennis Rodman* (3),San Antonio Spurs,"January 22, 1994",Dallas Mavericks,103–83,43,8,5,1,1,No,Yes,13 defensive rebounds in the first half.
