Rebounds,Off,Def,Player,Team,Date,Opponent,Score,Minutes played,Points,Assists,Steals,Blocks,20-20,Led the league in rebounding,Notes,Filler_1
31,14,17,Larry Smith,Golden State Warriors,"March 28, 1981",Denver Nuggets,139–142,45,23,5,,0,Yes,No,Rookie. Last Warriors home game of season.,KGcXsTX
31,11,20,Kevin Willis (2),Atlanta Hawks,"December 3, 1991",Dallas Mavericks,103–99,40,29,3,3,0,Yes,No,,qwjxpkLo
31,9,22,Dennis Rodman* (4),Detroit Pistons,"March 14, 1992",Sacramento Kings,89–83,48,7,0,3,1,No,Yes,,YlIXV
31,8,23,Dikembe Mutombo,Denver Nuggets,"March 26, 1996",Charlotte Hornets,112–119,51,16,0,1,6,No,No,Double overtime.,ISKBib
31,12,19,Kevin Love^,Minnesota Timberwolves,"November 12, 2010",New York Knicks,112–103,40:39,31,5,0,1,Yes,Yes,"15 rebounds in the third quarter, and 22 rebounds in the second half. 13 defensive rebounds in the second half.",zRFpARA
30,11,19,Jim Fox,Seattle SuperSonics,"December 26, 1973",Los Angeles Lakers,129–105,39,25,9,1,3,Yes,No,,gtdROpG
30,10,20,George T. Johnson,Golden State Warriors,"March 15, 1974",Los Angeles Lakers,112–107,48,14,7,,1,No,No,Elmore Smith of the Lakers had 11 blocks in the same game.,mqQbF
30,6,24,Wes Unseld*,Washington Bullets,"April 6, 1975",New Orleans Jazz,119–103,46,11,5,,,No,Yes,"Last game of season; won season rebounding title over Dave Cowens by a .01 margin. 14 rebounds in the first half, 16 rebounds in the second half.",ATSvTSyk
30,7,23,Kareem Abdul-Jabbar* (2),Los Angeles Lakers,"February 3, 1978",New Jersey Nets,105–99,48,37,5,,,Yes,No,Overtime.,wyYfCxjX
30,10,20,Swen Nater (3),Buffalo Braves,"March 4, 1978",New Jersey Nets,111–107,44,27,5,,,Yes,No,,FOVIvlMn
30,11,19,Michael Cage,Los Angeles Clippers,"April 24, 1988",Seattle SuperSonics,100–109,48,8,3,1,3,No,Yes,Last game of season; won season rebounding title over Charles Oakley by a .03 margin.,YmGroh
30,11,19,Dennis Rodman* (5),San Antonio Spurs,"February 21, 1995",Houston Rockets,98–97,40,6,0,0,0,No,Yes,,vMoDSfOt
30,8,22,Andrew Bynum^,Los Angeles Lakers,"April 11, 2012",San Antonio Spurs,98–84,36:41,16,2,0,2,No,No,19 rebounds in the first half.,gMPlyE
