Date,Place,Disc.,Winner,Second,Third
22 October 2005,"Sölden, Austria",GS,Tina Maze,Janica Kostelić,Anja Pärson
2 December 2005,"Lake Louise, Canada",DH,Elena Fanchini,Michaela Dorfmeister,Alexandra Meissnitzer
3 December 2005,"Lake Louise, Canada",DH,Lindsey Kildow,Sylviane Berthod,Michaela Dorfmeister
4 December 2005,"Lake Louise, Canada",SG,Alexandra Meissnitzer,Andrea Fischbacher,Michaela Dorfmeister
9 December 2005,"Aspen, USA",SG,Nadia Styger,Michaela Dorfmeister,Andrea Fischbacher
10 December 2005,"Aspen, USA",GS,María J. Rienda,Anja Pärson,Kathrin Zettel
11 December 2005,"Aspen, USA",SL,Anja Pärson,Janica Kostelić,Kathrin Zettel
17 December 2005,"Val-d'Isère, France",DH,Lindsey Kildow,Caroline Lalive,Alexandra Meissnitzer
18 December 2005,"Val-d'Isère, France",SG,Michaela Dorfmeister,Alexandra Meissnitzer,Emily Brydon
21 December 2005,"Spindleruv Mlyn, Czech Rep.",GS,Janica Kostelić,Kathrin Zettel,Marlies Schild
